index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,TextSkip,SKIP,PASSER,WEITER,SALTA,SALTAR,넘기기,ATLA
1,Lv6Start_00,"To think that you've made it this far.
Aren't you a persistent little thing?","Et dire que tu es arrivé jusqu'ici.
Tu es très tenace.","⟦MSBT:0E000000020002006300⟧Dass du so weit gekommen bist... Was
bist du nur für ein zähes Kerlchen!⟦MSBT:0E000000020002006400⟧","E pensare che sei arrivato fin qui...
Non ti arrendi tanto facilmente, vero?","Mira quién ha logrado llegar hasta
aquí. Debo admitir que tienes agallas.","　이곳까지 쫓아올 줄이야…
　끈질긴 녀석이로군.","Buralara kadar geldiğine inanamıyorum.
Ne kadar da inatçısın!"
2,Lv6Start_01,But even you will kneel before us.,"Mais toi aussi, tu t'inclineras bientôt
devant nous.","Doch auch du wirst vor
uns niederknien.","Ma non potrai fare altro che
arrenderti anche tu.","Pero acabarás arrodillándote
ante nosotros.","하지만
전 세계를 통치하실…","Ama sen bile önümüzde
diz çökeceksin."
3,Lv6Start_02,"I, Taranza, cannot allow you to
interfere with Queen Sectonia's plans.","Tu ne dois pas interférer avec
les plans de la Reine Sectonia.","Ich, Taranza, kann dich nicht Königin
Sectonias Pläne durchkreuzen lassen.","⟦MSBT:0E000000020002005F00⟧Io, Taranza, non ti permetterò di
interferire con i piani di Queen Sectonia!⟦MSBT:0E000000020002006400⟧","Pues yo, Taraña, evitaré que arruines
los planes de la Reina Sectonia.","여왕 세크토니아님을 방해하는 짓은
나, 타란자가 용서하지 않겠다.","Ben, Örümza, Kraliçe Sectonia'nın
planlarına karışmana izin veremem."
4,Lv6Start_03,"Let me guess: you're here to save the
hero of the lower world.","Tu es venu sauver ce piètre héros
du monde d'en bas, c'est ça ?","⟦MSBT:0E000000020002006300⟧Lass mich raten: Du bist hier, um den 
Helden der Niederen Welt zu retten.⟦MSBT:0E000000020002006400⟧","Lasciami indovinare: sei qui per
salvare l'eroe del mondo inferiore.","Así que has venido a salvar al
debilucho héroe del mundo inferior...","너는 이 녀석을…
하계의 용사를 구하려는 것이겠지?","Tahmin edeyim: Alt dünyanın
kahramanını kurtarmaya geldin."
5,Lv6Start_04,"The people of this land thought they
were clever.","On dirait que les gens de ce monde
ne réfléchissent pas beaucoup.","⟦MSBT:0E000000020002006400⟧Die Bewohner dieses Landes hielten
sich für schlau.⟦MSBT:0E000000020002006400⟧","Da queste parti si credono
intelligenti, pare.","Los habitantes de este mundo
se creyeron muy listos.","이 나라 녀석들은
어쩌면 이렇게도 어리석은지…","Bu diyarın insanları kendilerini
zeki sandılar."
6,Lv6Start_05,"They thought they could use the
Dreamstalk to save their world.","Ils pensaient que la Tige des rêves
les sauverait.","⟦MSBT:0E000000020002006100⟧Sie dachten, dass sie die Traumranke
zur Rettung ihrer Welt nutzen könnten.⟦MSBT:0E000000020002006400⟧","Pensavano di usare la Pianta dei
Sogni per salvare il mondo inferiore.","¡⟦MSBT:0E000000020002006300⟧Pensaron que podrían usar la Planta
de ensueño para salvarse!⟦MSBT:0E000000020002006400⟧","월드 트리를 사용해서
하계에 도움을 요청하리라고…","Rüya Sarmaşığı'nı kullanarak
dünyalarını kurtarabileceklerini sandılar."
7,Lv6Start_06,But I saw right through their plan.,Je connais leur plan depuis le début.,Doch ich durchschaute ihren Plan.,⟦MSBT:0E000000020002005D00⟧Conoscevo le loro intenzioni fin dall'inizio.⟦MSBT:0E000000020002006400⟧,Pero a⟦MSBT:0E000000020002006200⟧diviné su plan desde el principio.⟦MSBT:0E000000020002006400⟧,이미 나는 예상하고 있었다!,Ama planlarını hemen çözdüm.
8,Lv6Start_07,"Well, since you're already here...","Bien, puisque tu as pris la peine
de venir ici...",Aber da du nun schon hier bist...,"Ma visto che hai fatto così tanta
strada per arrivare fin qui...",Aunque ya que estás aquí...,이곳까지 온 너에게 멋진 선물을 주지…,Madem buraya kadar geldin...
9,Lv6Start_08,I'll give you your precious hero back.,"Je vais te le rendre,
ton précieux héros.",⟦MSBT:0E000000020002006400⟧Erhältst du den großen Helden zurück.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧... ti restituirò il tuo preziosissimo eroe.⟦MSBT:0E000000020002006400⟧,te devolveré a tu querido héroe.,이 용사와 함께…,Değerli kahramanını geri vereceğim.
10,Lv6Start_09,"But he may be a little more...hostile
than you remember him!","Mais il pourrait être plus hostile
que dans tes souvenirs.","Er ist vielleicht etwas... feindseliger,
als du ihn in Erinnerung hast!","Credo che sarà solo un briciolo più...
ostile di quanto tu possa ricordare.","Aunque puede que te parezca
un poco más... ¡violento!",마음껏 싸우는 행운을 주겠다!,"Ama hatırladığından biraz daha...
saldırgan olabilir!"
11,Lv6End_00,Wh-what is the meaning of this?!,Qu'est-ce que ça veut dire ?!,W-was bedeutet dies alles?!?,M-Ma... Che cosa...?,P-pero ¡¿qué es esto?!,"　어, 어떻게 된 것이냐!!",B-bunun anlamı ne?!
12,Lv6End_01,I did just as Her Majesty commanded.,J'ai suivi les ordres de ma reine.,"Ich tat nur, was Ihre Majestät befahl.","Ho solo seguito gli ordini di Sua
Maestà. ",He hecho lo que ordenó Su Majestad.,여왕님의 명령에 따라 이 용사에게 최면에 걸어,Majesteleri ne emrettiyse onu yaptım.
13,Lv6End_02,"The lower world should fall to its
knees before me!","Le monde d'en bas se prosternera
devant moi !","Die Niedere Welt soll vor mir auf
die Knie fallen!",Il mondo inferiore cadrà ai miei piedi!,"¡El mundo inferior debería
inclinarse ante mí!",하계를 정복하려 했건만…,"Alt dünya önümde
diz çökmeli!"
14,Lv6End_03,"Could... Could you be the true hero
of the lower world?","Ou alors... Serais-tu le vrai héros
du monde d'en bas ?","Kann es sein... Bist du der wahre
Held der Niederen Welt?","Sarà così? Sarai tu il coraggioso
eroe del mondo inferiore?","A no ser que... ¡seas tú el héroe
verdadero del mundo inferior!","설마?
네가 진정한 용사였군…!","Yoksa... Alt dünyanın gerçek
kahramanı sen misin?"
