index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,EndBtn,Back,⟦MSBT:0E000000020002004800⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004A00⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002003C00⟧Indietro⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Atrás⟦MSBT:0E000000020002006400⟧,마치기,Geri
1,Title,Theatre,Cinéma,Kino,Cinema,Cine,커비 극장,Sinema
2,ContentNameLocked,?,?,?,?,(?),?,?
3,ContentNameMovie00,⟦MSBT:0E000000020002006400⟧Waking to a flowery coup!⟦MSBT:0E000000020002006400⟧,"Réveil dans le
monde des fleurs","Morgen in der Blumenwelt -
der König in Nöten!",Brusco risveglio tra i fiori,⟦MSBT:0E000000020002006200⟧Brusco despertar entre las flores⟦MSBT:0E000000020002006400⟧,눈을 뜨자 플로랄드~대왕의 위기!,⟦MSBT:0E000000020002006400⟧Çiçekler Arasında Uyanış!⟦MSBT:0E000000020002006400⟧
4,ContentNameMovie01,FLOWERED,FLEURIES,BLÜHEND,FIORENDO,FLORALES,FLOWERED,ÇİÇEKLİ
5,ContentNameMovie02,"⟦MSBT:0E000000020002006400⟧Taranza, the master
of puppetry⟦MSBT:0E000000020002006400⟧","Taranza, maître marionnettiste","⟦MSBT:0E000000020002006400⟧Taranza, Meister des
Schattenspiels⟦MSBT:0E000000020002006400⟧","Taranza, il burattinaio folle",Taraña maneja los hilos,최면의 마술사 타란자,"⟦MSBT:0E000000020002006400⟧Örümza, kukla
ustası⟦MSBT:0E000000020002006400⟧"
6,ContentNameMovie03,Divine beauty,Sublime beauté,"⟦MSBT:0E000000020002006400⟧Ein Gesicht
verheerender Schönheit⟦MSBT:0E000000020002006400⟧",Bellezza sublime,Una belleza devastadora,신과 견줄 만한 미모 앞에,İlahi güzellik
7,ContentNameMovie04,She who holds the stars,La détentrice des étoiles,"⟦MSBT:0E000000020002005F00⟧Die, die die Sterne in Händen hält⟦MSBT:0E000000020002006400⟧",Stelle intrappolate,Quien toca las estrellas,별을 잡은 자,Yıldızları elinde tutan
8,ContentNameSkit00,⟦MSBT:0E000000020002006300⟧Under the sunshine: scenes 1-5⟦MSBT:0E000000020002006400⟧,"⟦MSBT:0E000000020002006400⟧Sous un soleil radieux :
scènes 1 à 5⟦MSBT:0E000000020002006400⟧",⟦MSBT:0E000000020002006300⟧Im Sonnenschein: Szene 1 - 5⟦MSBT:0E000000020002006400⟧,Alla luce del sole: scene 1⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧-⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧5,Bajo el sol: escenas 1⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧-⟦MSBT:0E000000020002003200⟧ ⟦MSBT:0E000000020002006400⟧5,태양의 빛으로: 1~5장,⟦MSBT:0E000000020002006300⟧Güneş altında: sahneler 1-5⟦MSBT:0E000000020002006400⟧
9,ContentNameStaffCredit00,Ending,Fin,Ende,Finale,Final,엔딩,Son
10,ContentNameStaffCredit01,Secret ending,Fin secrète,⟦MSBT:0E000000020002006400⟧Geheimes Ende⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Finale segreto⟦MSBT:0E000000020002006400⟧,Final secreto,시크릿 엔딩,Gizli son
11,ContentNameClearDance00,Kirby Master!,Une ovation pour Kirby !,Kirby-Profi!,Il grande Kirby!,¡El gran héroe Kirby!,커비 마스터!,Kirby Ustası!
12,ContentNameSimpleCredit00,Staff credits,Crédits,Credits,Riconoscimenti,Créditos,만든 사람들,Ekip Jeneriği
