index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,CreateNotifyMii1,"When ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧is enabled,
⟦MSBT:0E00000003000400FF4B32FF⟧Mii characters ⟦MSBT:0E00000003000400000000FF⟧that you
tag via ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧will bring
you items and keychains!","Si ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧est activé, les
⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧que vous croisez via
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧vous donneront
des objets et porte-clés !","⟦MSBT:0E000000020002005A00⟧Ist ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧aktiviert, werden
⟦MSBT:0E00000003000400FF4B32FF⟧Mii-Charaktere⟦MSBT:0E00000003000400000000FF⟧, die du über
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ triffst, dir Items
und Glücksbringer schenken.⟦MSBT:0E000000020002006400⟧","Se attivi ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧,
i ⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧che incontri tramite
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧ti regaleranno
oggetti e portachiavi!","⟦MSBT:0E000000020002005800⟧Si tienes ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ activado,
¡los ⟦MSBT:0E00000003000400FF4B32FF⟧personajes Mii ⟦MSBT:0E00000003000400000000FF⟧con los que
te cruces a través de ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
te traerán objetos y llaveros!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧을 등록하면
엇갈린 ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧가 찾아와서
아이템이나 키홀더를
주고 갑니다!","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧açıksa,
karşılaştığın ⟦MSBT:0E00000003000400FF4B32FF⟧Mii karakterleri⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧üzerinden sana
eşya ve anahtarlık getirir!"
1,CreateSelect,"⟦MSBT:0E000000020002005F00⟧Would you like to create
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧data for this title?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Voulez-vous créer des
données ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
⟦MSBT:0E00000003000400000000FF⟧pour ce jeu ?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Möchtest du für dieses Spiel
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧-Daten erstellen?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Vuoi creare dati ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
per questo software?⟦MSBT:0E000000020002006400⟧","¿Quieres crear datos de
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧para este juego?","이 소프트웨어의 ⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧을
등록하시겠습니까?","⟦MSBT:0E000000020002005F00⟧Bu oyun için
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧verisi
oluşturulsun mu?⟦MSBT:0E000000020002006400⟧"
2,CreateEnd,"⟦MSBT:0E000000020002005F00⟧Finished creating
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧data.⟦MSBT:0E000000020002006400⟧","Les données ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ ont
été créées.",⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧-Daten erstellt.⟦MSBT:0E000000020002006400⟧,"⟦MSBT:0E000000020002006400⟧I dati ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002006400⟧sono stati creati.⟦MSBT:0E000000020002006400⟧","Se han creado los datos
de ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","이 소프트웨어의 ⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧을
등록했습니다.","⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ verileri
oluşturuldu.⟦MSBT:0E000000020002006400⟧"
3,CreateEnd2,"⟦MSBT:0E000000020002005D00⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧will stay active
even if this software is closed.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005D00⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ restera activé
même une fois le logiciel fermé.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧bleibt auch
nach dem Schließen der
Software aktiv.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧rimarrà attiva
anche quando il gioco è chiuso.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧seguirá activo
aunque se cierre el programa.","이 소프트웨어를 마쳐도
⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧은
자동으로 이루어집니다.","⟦MSBT:0E000000020002005D00⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧etkin kalacak,
bu yazılım kapatılsa bile.⟦MSBT:0E000000020002006400⟧"
4,DeleteSelect,"Deactivate ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
⟦MSBT:0E00000003000400000000FF⟧for this title?","Voulez-vous désactiver
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ pour ce jeu ?","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ für diese
Software deaktivieren?","Vuoi disattivare ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass 
⟦MSBT:0E00000003000400000000FF⟧per questo software?","¿Quieres desactivar
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ para este juego?","이 소프트웨어의 ⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧을
그만두시겠습니까?","Bu oyun için ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
⟦MSBT:0E00000003000400000000FF⟧devre dışı bırakılsın mı?"
5,DeleteEnd,"⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧has been
deactivated for this title.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ est maintenant
désactivé pour ce jeu.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ wurde für
diese Software deaktiviert.","⟦MSBT:0E000000020002006000⟧⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ è stata disattivata
per questo software.⟦MSBT:0E000000020002006400⟧","Se ha desactivado
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ para este juego.","이 소프트웨어의 ⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧을
그만두었습니다.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧bu oyun için
devre dışı bırakıldı."
6,MiiSelect,"Select the ⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧you would like
to use for ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E000000020002006400⟧Choisissez le ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧ que vous
souhaitez utiliser
avec ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧","Wähle das ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧, das du für
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ verwenden willst.","Seleziona il ⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧che desideri
usare per ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","Elige el ⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧que desees usar
en ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧에 사용할
당신의 ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧를 골라 주십시오.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧'te kullanmak
istediğin ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧'yi seç."
7,MiiNotAvaiable,"⟦MSBT:0E000000020002005D00⟧No ⟦MSBT:0E00000003000400FF4B32FF⟧Mii characters⟦MSBT:0E00000003000400000000FF⟧ are available,
so a ⟦MSBT:0E00000003000400FF4B32FF⟧Guest Mii⟦MSBT:0E00000003000400000000FF⟧ will be used.
New ⟦MSBT:0E00000003000400FF4B32FF⟧Mii characters⟦MSBT:0E00000003000400000000FF⟧ can be
created in ⟦MSBT:0E00000003000400FF4B32FF⟧Mii Maker⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Aucun ⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧n'est disponible, un
⟦MSBT:0E00000003000400FF4B32FF⟧Mii invité⟦MSBT:0E00000003000400000000FF⟧ va être utilisé.
Vous pouvez créer de nouveaux
⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧dans l'⟦MSBT:0E00000003000400FF4B32FF⟧éditeur Mii⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Es steht kein ⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧zur Verfügung, 
daher wird ein ⟦MSBT:0E00000003000400FF4B32FF⟧Gast-Mii⟦MSBT:0E00000003000400000000FF⟧ ver-
wendet. ⟦MSBT:0E00000003000400FF4B32FF⟧Mii-Charaktere ⟦MSBT:0E00000003000400000000FF⟧können
im ⟦MSBT:0E00000003000400FF4B32FF⟧Mii-Maker ⟦MSBT:0E00000003000400000000FF⟧erstellt werden.⟦MSBT:0E000000020002006400⟧","Nessun ⟦MSBT:0E00000003000400FF4B32FF⟧Mii ⟦MSBT:0E00000003000400000000FF⟧disponibile.
Verrà utilizzato un ⟦MSBT:0E00000003000400FF4B32FF⟧Mii ospite⟦MSBT:0E00000003000400000000FF⟧.
Puoi creare nuovi ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧ nel
⟦MSBT:0E00000003000400FF4B32FF⟧Centro di Creazione Mii⟦MSBT:0E00000003000400000000FF⟧.","No hay ningún ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧ disponible. 
Usarás un ⟦MSBT:0E00000003000400FF4B32FF⟧Mii invitado⟦MSBT:0E00000003000400000000FF⟧.
Puedes crear un ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧ nuevo
en el ⟦MSBT:0E00000003000400FF4B32FF⟧editor de Mii⟦MSBT:0E00000003000400000000FF⟧.","사용 가능한 ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧가 없어
⟦MSBT:0E00000003000400FF4B32FF⟧게스트 Mii⟦MSBT:0E00000003000400000000FF⟧를 사용합니다.
새로운 ⟦MSBT:0E00000003000400FF4B32FF⟧Mii⟦MSBT:0E00000003000400000000FF⟧는 ⟦MSBT:0E00000003000400FF4B32FF⟧Mii 스튜디오⟦MSBT:0E00000003000400000000FF⟧에서
만들 수 있습니다.","⟦MSBT:0E000000020002005700⟧Kullanılabilir ⟦MSBT:0E00000003000400FF4B32FF⟧Mii karakteri⟦MSBT:0E00000003000400000000FF⟧ yok,
bu yüzden ⟦MSBT:0E00000003000400FF4B32FF⟧Misafir Mii⟦MSBT:0E00000003000400000000FF⟧ kullanılacak.
Yeni ⟦MSBT:0E00000003000400FF4B32FF⟧Mii karakterlerini⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FF4B32FF⟧Mii Oluşturucu'da⟦MSBT:0E00000003000400000000FF⟧ yapabilirsin.⟦MSBT:0E000000020002006400⟧"
8,BoxFull1,"Unable to create 
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧data.","Impossible de créer des
données ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧-Daten konnten
nicht erstellt werden.","Impossibile creare
dati ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","No se han podido crear
datos de ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧.","더 이상 ⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧을
등록할 수 없습니다.","⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ verileri
oluşturulamadı."
9,BoxFull2,"Please free up a ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
slot in ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass
Management ⟦MSBT:0E00000003000400000000FF⟧within System
Settings.","Veuillez libérer un bloc 
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ dans le menu
⟦MSBT:0E00000003000400FF4B32FF⟧Gestion StreetPass⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E00000003000400FF4B32FF⟧ ⟦MSBT:0E00000003000400000000FF⟧des 
paramètres de la console.","⟦MSBT:0E000000020002005C00⟧Rufe die ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass-Verwaltung⟦MSBT:0E00000003000400000000FF⟧
in den Systemeinstellungen auf,
um ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧ für eine andere
Software zu deaktivieren.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Vai alla ⟦MSBT:0E00000003000400FF4B32FF⟧Gestione StreetPass⟦MSBT:0E00000003000400000000FF⟧,
nelle Impostazioni della console,
e disattiva ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧
per un altro software.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Necesitas espacio. Ve a ⟦MSBT:0E00000003000400FF4B32FF⟧Gestión
de StreetPass ⟦MSBT:0E00000003000400000000FF⟧y desactiva
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass ⟦MSBT:0E00000003000400000000FF⟧para otro título en
la configuración de la consola.⟦MSBT:0E000000020002006400⟧","본체 설정의
⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신 관리⟦MSBT:0E00000003000400000000FF⟧에서
다른 소프트웨어의 ⟦MSBT:0E00000003000400FF4B32FF⟧엇갈림 통신⟦MSBT:0E00000003000400000000FF⟧
사용을 중지해 주십시오.","⟦MSBT:0E000000020002005A00⟧Sistem Ayarları'ndaki
⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass Yönetimi⟦MSBT:0E00000003000400000000FF⟧'ni aç.
Başka bir yazılımda ⟦MSBT:0E00000003000400FF4B32FF⟧StreetPass⟦MSBT:0E00000003000400000000FF⟧'i
kapatıp bir yuva boşalt.⟦MSBT:0E000000020002006400⟧"
