index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,CreateFile,"Creating ⟦MSBT:0E00000003000400FF4600FF⟧save data⟦MSBT:0E00000003000400000000FF⟧. 
Please wait.","Création des ⟦MSBT:0E00000003000400FF4600FF⟧données
de sauvegarde⟦MSBT:0E00000003000400000000FF⟧...","Erstelle ⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧.
Bitte warten.","Creazione ⟦MSBT:0E00000003000400FF4600FF⟧dati di
salvataggio ⟦MSBT:0E00000003000400000000FF⟧in corso...
Attendi.","Creando ⟦MSBT:0E00000003000400FF4600FF⟧datos
de guardado⟦MSBT:0E00000003000400000000FF⟧...","⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧를 작성합니다.
잠시 기다려 주십시오.","⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧
oluşturuluyor.
Lütfen bekleyin."
1,CreateFileSuccess,⟦MSBT:0E00000003000400FF4600FF⟧Save data⟦MSBT:0E00000003000400000000FF⟧ created.,"Les ⟦MSBT:0E00000003000400FF4600FF⟧données de sauve-
garde ⟦MSBT:0E00000003000400000000FF⟧ont été créées.",⟦MSBT:0E000000020002005100⟧⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧ wurden erstellt.⟦MSBT:0E000000020002006400⟧,"I ⟦MSBT:0E00000003000400FF4600FF⟧dati di salvataggio⟦MSBT:0E00000003000400000000FF⟧
sono stati creati.","Se han creado los ⟦MSBT:0E00000003000400FF4600FF⟧datos
de guardado⟦MSBT:0E00000003000400000000FF⟧.",⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧를 작성했습니다.,⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ oluşturuldu.
2,RecreateFile,"Recreating ⟦MSBT:0E00000003000400FF4600FF⟧save data⟦MSBT:0E00000003000400000000FF⟧. 
Please wait.","⟦MSBT:0E000000020002006000⟧Création de nouvelles
⟦MSBT:0E00000003000400FF4600FF⟧données de sauvegarde⟦MSBT:0E00000003000400000000FF⟧...⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005E00⟧⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧ werden erneut
erstellt. Bitte warten.⟦MSBT:0E000000020002006400⟧","Creazione nuovi ⟦MSBT:0E00000003000400FF4600FF⟧dati di
salvataggio ⟦MSBT:0E00000003000400000000FF⟧in corso...
Attendi.","Creando nuevos ⟦MSBT:0E00000003000400FF4600FF⟧datos
de guardado⟦MSBT:0E00000003000400000000FF⟧...","⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧를 다시 작성합니다.
잠시 기다려 주십시오.","⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ yeniden
oluşturuluyor.
Lütfen bekleyin."
3,RepairData,"⟦MSBT:0E00000003000400FF4600FF⟧Save data⟦MSBT:0E00000003000400000000FF⟧ is corrupted.
Please wait while new
data is created...","⟦MSBT:0E000000020002004B00⟧Les ⟦MSBT:0E00000003000400FF4600FF⟧données de sauvegarde⟦MSBT:0E00000003000400000000FF⟧
sont corrompues. Récupération
des données de sauvegarde...⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005000⟧Die ⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧ sind fehler-
haft. Bitte warte, während
neue Daten erstellt werden.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧I ⟦MSBT:0E00000003000400FF4600FF⟧dati di salvataggio⟦MSBT:0E00000003000400000000FF⟧ sono
danneggiati. Creazione nuovi
dati in corso... Attendi.⟦MSBT:0E000000020002006400⟧","Los ⟦MSBT:0E00000003000400FF4600FF⟧datos de guardado⟦MSBT:0E00000003000400000000FF⟧
están dañados.
Restaurando datos...","⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧가 손상되었습니다.
삭제 후 다시 작성하겠습니다.
잠시 기다려 주십시오.","⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ bozuldu.
Yeni veri oluşturuluyor.
Lütfen bekleyin..."
4,ErrorOccured,An ⟦MSBT:0E00000003000400FF4600FF⟧error ⟦MSBT:0E00000003000400000000FF⟧has occurred.,⟦MSBT:0E000000020002006000⟧Une ⟦MSBT:0E00000003000400FF4600FF⟧erreur ⟦MSBT:0E00000003000400000000FF⟧est survenue.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005E00⟧Ein ⟦MSBT:0E00000003000400FF4600FF⟧Fehler⟦MSBT:0E00000003000400000000FF⟧ ist aufgetreten.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006300⟧Si è verificato un ⟦MSBT:0E00000003000400FF4600FF⟧errore⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧Se ha producido un ⟦MSBT:0E00000003000400FF4600FF⟧error⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000003000400FF4600FF⟧에러⟦MSBT:0E00000003000400000000FF⟧가 발생했습니다.,Bir ⟦MSBT:0E00000003000400FF4600FF⟧hata ⟦MSBT:0E00000003000400000000FF⟧oluştu.
5,IsExecFormat,Recreate ⟦MSBT:0E00000003000400FF4600FF⟧save data⟦MSBT:0E00000003000400000000FF⟧?,"⟦MSBT:0E000000020002005A00⟧Créer de nouvelles ⟦MSBT:0E00000003000400FF4600FF⟧données
de sauvegarde ⟦MSBT:0E00000003000400000000FF⟧?⟦MSBT:0E000000020002006400⟧",⟦MSBT:0E000000020002005D00⟧⟦MSBT:0E00000003000400FF4600FF⟧Speicherdaten⟦MSBT:0E00000003000400000000FF⟧ erneut erstellen?⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧Creare nuovi ⟦MSBT:0E00000003000400FF4600FF⟧dati di salvataggio⟦MSBT:0E00000003000400000000FF⟧?⟦MSBT:0E000000020002006400⟧,"¿Quieres crear nuevos
⟦MSBT:0E00000003000400FF4600FF⟧datos de guardado⟦MSBT:0E00000003000400000000FF⟧?","⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧를
다시 작성하시겠습니까?","⟦MSBT:0E00000003000400FF4600FF⟧Kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ yeniden
oluşturulsun mu?"
6,MiiDBFormatted,"⟦MSBT:0E00000003000400FF4600FF⟧Save data ⟦MSBT:0E00000003000400000000FF⟧for ⟦MSBT:0E00000003000400FF4600FF⟧Mii Maker
⟦MSBT:0E00000003000400000000FF⟧was corrupted. New data
has been created.","⟦MSBT:0E000000020002005700⟧Les ⟦MSBT:0E00000003000400FF4600FF⟧données de sauvegarde⟦MSBT:0E00000003000400000000FF⟧ de
l'⟦MSBT:0E00000003000400FF4600FF⟧éditeur Mii⟦MSBT:0E00000003000400000000FF⟧ étaient corrompues
et ont été réinitialisées.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Die ⟦MSBT:0E00000003000400FF4600FF⟧Daten⟦MSBT:0E00000003000400000000FF⟧ des ⟦MSBT:0E00000003000400FF4600FF⟧Mii-Makers⟦MSBT:0E00000003000400000000FF⟧
waren fehlerhaft und
und wurden repariert.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005000⟧I ⟦MSBT:0E00000003000400FF4600FF⟧dati di salvataggio⟦MSBT:0E00000003000400000000FF⟧ del ⟦MSBT:0E00000003000400FF4600FF⟧Centro di
Creazione Mii ⟦MSBT:0E00000003000400000000FF⟧erano danneggiati.
Sono stati creati nuovi dati.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Los ⟦MSBT:0E00000003000400FF4600FF⟧datos de guardado⟦MSBT:0E00000003000400000000FF⟧
del ⟦MSBT:0E00000003000400FF4600FF⟧editor de Mii⟦MSBT:0E00000003000400000000FF⟧ estaban
dañados y se han restaurado.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4600FF⟧Mii 스튜디오⟦MSBT:0E00000003000400000000FF⟧의 ⟦MSBT:0E00000003000400FF4600FF⟧저장 데이터⟦MSBT:0E00000003000400000000FF⟧가
손상되어 있어 삭제 후
다시 작성했습니다.","⟦MSBT:0E00000003000400FF4600FF⟧Mii Oluşturucu⟦MSBT:0E00000003000400000000FF⟧'nun
⟦MSBT:0E00000003000400FF4600FF⟧kayıt verisi⟦MSBT:0E00000003000400000000FF⟧ bozulmuştu.
Yeni kayıt verisi oluşturuldu."
7,CreateExtSaveData,,,,,,,
8,RecreateExtSaveData,,,,,,,
9,NotFoundSDCard,,,,,,,
