index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,HeaderMulti,Multiplayer,Multijoueur,⟦MSBT:0E000000020002005000⟧Mehrspieler⟦MSBT:0E000000020002006400⟧,Più giocatori,Multijugador,모두 함께,Çok Oyunculu
1,HeaderTraining,Training,Entraînement,Training,Allenamento,Practicar,트레이닝,Antrenman
2,ExplainWait,Please wait...,Veuillez patienter.,Bitte warten...,Attendi...,Un momento...,잠시 기다려 주십시오.,Lütfen bekleyin...
3,ExplainWaitWithCancel,"Please wait...
⟦MSBT:0E000000020002005A00⟧(Press ⟦MSBT:0E00010001000000⟧  to cancel.)⟦MSBT:0E000000020002006400⟧","Veuillez patienter.
⟦MSBT:0E000000020002006400⟧(⟦MSBT:0E00010001000000⟧  ⟦MSBT:0E000000020002006400⟧pour annuler)","Bitte warten...
(⟦MSBT:0E000000020002005A00⟧Drücke ⟦MSBT:0E00010001000000⟧, um abzubrechen.)⟦MSBT:0E000000020002006400⟧","Attendi.
(⟦MSBT:0E000000020002005A00⟧Premi ⟦MSBT:0E00010001000000⟧  per annullare)⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Un momento...
(Pulsa ⟦MSBT:0E00010001000000⟧  para cancelar.)⟦MSBT:0E000000020002006400⟧","잠시 기다려 주십시오.
 ⟦MSBT:0E000000020002005A00⟧(⟦MSBT:0E00010001000000⟧를 누르면 취소)⟦MSBT:0E000000020002006400⟧","Lütfen bekleyin...
⟦MSBT:0E000000020002005A00⟧(İptal için ⟦MSBT:0E00010001000000⟧ tuşuna basın.)⟦MSBT:0E000000020002006400⟧"
4,ExplainSendDLP,"Transferring
Download Play data...","Transfert⟦MSBT:0E000000020002006400⟧ des données
du mode téléchargement.⟦MSBT:0E000000020002006400⟧","Übertrage Daten des
Download-Spiels...","⟦MSBT:0E000000020002005700⟧Trasferimento dati
modalità download in corso...⟦MSBT:0E000000020002006400⟧","Transfiriendo datos
del modo descarga...","다운로드 플레이 데이터를
전송하고 있습니다.","İndirme Oyunu verileri
aktarılıyor..."
5,ExplainMapRandom,Random Map selected.,Choix : Aléatoire,Zufällige Karte gewählt.,Selezione: Casuale.,Al azar,랜덤으로 결정했습니다.,Rastgele harita seçildi.
6,ExplainMapBattlefield,Flower Land selected.,Choix : Terres Fleuries,⟦MSBT:0E000000020002006300⟧Land der Blumen gewählt.⟦MSBT:0E000000020002006400⟧,Selezione: Prato fiorito.,Prado florido,플라워 랜드로 결정했습니다.,Çiçek Diyarı seçildi.
7,ExplainMapCastleLololo,Castle Lololo selected.,Choix : Château Lololo,Schloss Lololo gewählt.,⟦MSBT:0E000000020002005F00⟧Selezione: Castello Lololo.⟦MSBT:0E000000020002006400⟧,Castillo Lololo,캐슬 로로로 결정했습니다.,Lololo Kalesi seçildi.
8,ExplainMapDededeRing,⟦MSBT:0E000000020002006300⟧Dedede Arena selected.⟦MSBT:0E000000020002006400⟧,Choix : Ring de DaDiDou,Dedede-Ring gewählt.,Selezione: Ring Dedede.,Ring de Dedede,디디디 링으로 결정했습니다.,⟦MSBT:0E000000020002006300⟧Dedede Arenası seçildi.⟦MSBT:0E000000020002006400⟧
9,ExplainMapBubblyClouds,⟦MSBT:0E000000020002006100⟧Bubbly Clouds selected.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006300⟧Choix : Nuages Mousseux⟦MSBT:0E000000020002006400⟧,Kugelwolken gewählt.,Selezione: Soffici nuvole.,Nubes pastel,버블리 클라우드로 결정했습니다.,⟦MSBT:0E000000020002006100⟧Pofuduk Bulutlar seçildi.⟦MSBT:0E000000020002006400⟧
