index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,CharaKirby,Kirby,Kirby,Kirby,Kirby,Kirby,커비,Kirby
1,AbilityNormal,Kirby,Kirby,Kirby,Kirby,Kirby,커비,Kirby
2,AbilityIce,Ice,Glace,Eis,Ghiaccio,Hielo,아이스,Buz
3,AbilityWhip,Whip,Fouet,Peitsche,Frusta,Látigo,채찍,Kırbaç
4,AbilityWing,Wing,Aile,Flügel,Volo,Alas,윙,Kanat
5,AbilityCutter,Cutter,⟦MSBT:0E000000020002005D00⟧Trancheur⟦MSBT:0E000000020002006400⟧,Bumerang,Lama,Cuchillo,커터,Kesici
6,AbilityCrash,Crash,Foudre,Kugelblitz,Bomba,Catapum,크래시,Patlama
7,AbilityStone,Stone,Rocher,Stein,Pietra,Piedra,스톤,Taş
8,AbilitySpark,Spark,Étincelle,Elektro,Elettro,Chispazo,스파크,Kıvılcım
9,AbilitySpear,Spear,Lance,Speer,Lancia,Lanza,창,Mızrak
10,AbilitySleep,Sleep,Sommeil,Schlaf,Sonno,Sueño,슬립,Uyku
11,AbilitySword,Sword,Épée,Schwert,Spada,Espada,스워드,Kılıç
12,AbilityNinja,Ninja,Ninja,Ninja,Ninja,Ninja,닌자,Ninja
13,AbilityParasol,Parasol,Parasol,Schirm,Parasole,Sombrilla,파라솔,Şemsiye
14,AbilityHammer,Hammer,Marteau,Hammer,Martello,Martillo,해머,Çekiç
15,AbilityBeam,Beam,Rayon,Beam,Raggio,Rayo,빔,Işın
16,AbilityFire,Fire,Feu,Feuer,Fuoco,Fuego,파이어,Ateş
17,AbilityFighter,Fighter,Combat,Kämpfer,Lottatore,Luchador,파이터,Dövüşçü
18,AbilityBomb,Bomb,Bombe,Bomben,Granata,Bomba,밤,Bomba
19,AbilityMike,Mike,Micro,Popstar,Urla,Micro,마이크,⟦MSBT:0E000000020002005A00⟧Mikrofon⟦MSBT:0E000000020002006400⟧
20,AbilityLeaf,Leaf,Feuille,Laub,Foglia,Hoja,리프,Yaprak
21,AbilityWheel,Wheel,Roue,Rad,Ruota,Rueda,휠,⟦MSBT:0E000000020002006400⟧Teker⟦MSBT:0E000000020002006400⟧
22,AbilityBell,Bell,Clochette,Glocke,Campana,Campana,벨,Çan
23,AbilitySniper,Archer,Archer,⟦MSBT:0E000000020002004600⟧Bogenschütze⟦MSBT:0E000000020002006400⟧,Arciere,Arquero,스나이퍼,Okçu
24,AbilityBeetle,Beetle,Scarabée,Käfer,Scarabeo,⟦MSBT:0E000000020002005F00⟧Escarabajo⟦MSBT:0E000000020002006400⟧,비틀,Böcek
25,AbilityCircus,Circus,Cirque,Zirkus,Circo,Circo,서커스,Sirk
26,AbilityNeedle,Needle,Aiguille,Igel,Spino,Erizo,니들,İğne
27,AbilityBigbang,⟦MSBT:0E000000020002005F00⟧Hypernova⟦MSBT:0E000000020002006400⟧,Méganova,Meganova,Ipernova,Hipernova,빅뱅,⟦MSBT:0E000000020002005F00⟧Hipernova⟦MSBT:0E000000020002006400⟧
28,AbilityDedede,⟦MSBT:0E000000020002005500⟧King Dedede⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧Roi DaDiDou⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧König Dedede⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005600⟧King Dedede⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005900⟧Rey Dedede⟦MSBT:0E000000020002006400⟧,디디디 대왕,⟦MSBT:0E000000020002005500⟧Kral Dedede⟦MSBT:0E000000020002006400⟧
29,PlayerNum1,1P,J1,SP1,G1,J. 1,1P,1P
30,ComputerNum1,CPU1,ORDI 1,CPU1,CPU1,CPU. 1,CP1,CPU1
31,ComputerNum2,CPU2,ORDI 2,CPU2,CPU2,CPU. 2,CP2,CPU2
32,ComputerNum3,CPU3,ORDI 3,CPU3,CPU3,CPU. 3,CP3,CPU3
33,ComputerNum4,CPU4,ORDI 4,CPU4,CPU4,CPU. 4,CP4,CPU4
