index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,AbilitySelectHeaderText,Select Copy Ability,Sélection du pouvoir,Spezial-Power auswählen,Seleziona abilità,Seleccionar habilidad,능력 선택,Kopya Yeteneği Seç
1,AbilitySelectButtonBack,Back,⟦MSBT:0E000000020002006200⟧Retour⟦MSBT:0E000000020002006400⟧,Zurück,⟦MSBT:0E000000020002005000⟧Indietro⟦MSBT:0E000000020002006400⟧,Atrás,뒤로,Geri
2,AbilitySelectButtonStart,Start,Commencer,Start,Inizia,Comenzar,스타트,Başla
3,SingleModeText,Single Player,Un joueur,⟦MSBT:0E000000020002004B00⟧Einzelspieler⟦MSBT:0E000000020002006400⟧,Un giocatore,Un jugador,혼자서,Tek Oyuncu
4,BestTimeText,Best Time,Record,Bestzeit,Tempo record,Récord,베스트 타임,En İyi Süre
5,LevelTextAbilitySelectLo,Difficulty,Difficulté,⟦MSBT:0E000000020002006400⟧Schwierigk.⟦MSBT:0E000000020002006400⟧,Difficoltà,Dificultad,난이도,Zorluk
6,LevelEasyAbilitySelectLo,Easy,Facile,⟦MSBT:0E000000020002006400⟧Einfach⟦MSBT:0E000000020002006400⟧,Facile,Fácil,쉽게,Kolay
7,LevelNormalAbilitySelectLo,Normal,Normal,Normal,Normale,Normal,평범하게,Normal
8,LevelHardAbilitySelectLo,Hard,Difficile,Schwierig,Difficile,Difícil,어렵게,Zor
9,LevelVeryHardAbilitySelectLo,⟦MSBT:0E000000020002006400⟧Very Hard⟦MSBT:0E000000020002006400⟧,Très difficile,⟦MSBT:0E000000020002005800⟧Sehr schwierig⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Molto difficile⟦MSBT:0E000000020002006400⟧,Muy difícil,진짜 어렵게,⟦MSBT:0E000000020002006400⟧Çok Zor⟦MSBT:0E000000020002006400⟧
10,LevelTextAbilitySelectUp,Difficulty,Difficulté,⟦MSBT:0E000000020002005500⟧Schwierigk.⟦MSBT:0E000000020002006400⟧,Difficoltà,Dificultad,난이도,Zorluk
11,LevelEasyAbilitySelectUp,Easy,Facile,⟦MSBT:0E000000020002006400⟧Einfach⟦MSBT:0E000000020002006400⟧,Facile,Fácil,쉽게,Kolay
12,LevelNormalAbilitySelectUp,Normal,Normal,Normal,Normale,Normal,평범하게,Normal
13,LevelHardAbilitySelectUp,Hard,Difficile,Schwierig,Difficile,Difícil,어렵게,Zor
14,LevelVeryHardAbilitySelectUp,Very Hard,Très difficile,⟦MSBT:0E000000020002005800⟧Sehr schwierig⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Molto difficile⟦MSBT:0E000000020002006400⟧,Muy difícil,진짜 어렵게,Çok Zor
15,LevelTextResultLo,Difficulty,Difficulté,⟦MSBT:0E000000020002005000⟧Schwierigk.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006300⟧Difficoltà⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧Dificultad⟦MSBT:0E000000020002006400⟧,난이도,Zorluk
16,LevelEasyResultLo,Easy,Facile,⟦MSBT:0E000000020002006400⟧Einfach⟦MSBT:0E000000020002006400⟧,Facile,⟦MSBT:0E000000020002006100⟧Fácil⟦MSBT:0E000000020002006400⟧,쉽게,Kolay
17,LevelNormalResultLo,Normal,Normal,Normal,Normale,⟦MSBT:0E000000020002006100⟧Normal⟦MSBT:0E000000020002006400⟧,평범하게,Normal
18,LevelHardResultLo,Hard,Difficile,Schwierig,Difficile,⟦MSBT:0E000000020002006100⟧Difícil⟦MSBT:0E000000020002006400⟧,어렵게,Zor
19,LevelVeryHardResultLo,Very Hard,⟦MSBT:0E000000020002005900⟧Très difficile⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004A00⟧Sehr schwierig⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004F00⟧Molto difficile⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧Muy difícil⟦MSBT:0E000000020002006400⟧,진짜 어렵게,Çok Zor
20,LevelTextBattleLo,Difficulty,Difficulté,⟦MSBT:0E000000020002006400⟧Schwierigk.⟦MSBT:0E000000020002006400⟧,Difficoltà,⟦MSBT:0E000000020002005D00⟧Dificultad⟦MSBT:0E000000020002006400⟧,난이도,Zorluk
21,LevelEasyBattleLo,Easy,Facile,⟦MSBT:0E000000020002006400⟧Einfach⟦MSBT:0E000000020002006400⟧,Facile,⟦MSBT:0E000000020002005D00⟧Fácil⟦MSBT:0E000000020002006400⟧,쉽게,Kolay
22,LevelNormalBattleLo,Normal,Normal,Normal,Normale,⟦MSBT:0E000000020002005D00⟧Normal⟦MSBT:0E000000020002006400⟧,평범하게,Normal
23,LevelHardBattleLo,Hard,Difficile,Schwierig,Difficile,⟦MSBT:0E000000020002005D00⟧Difícil⟦MSBT:0E000000020002006400⟧,어렵게,Zor
