index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,Title,"Keychain
Collection","⟦MSBT:0E000000020002005F00⟧Collection de
porte-clés⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Glücksbringer-
Kollektion⟦MSBT:0E000000020002006400⟧","Collezione
portachiavi","Colección
de llaveros",키홀더 컬렉션,"Anahtarlık
Koleksiyonu"
1,BtnEnd,Back,⟦MSBT:0E000000020002004800⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004A00⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002003E00⟧Indietro⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Atrás⟦MSBT:0E000000020002006400⟧,뒤로,Geri
2,BtnGameCoin,Play Coins,⟦MSBT:0E000000020002006300⟧Pièces de jeu⟦MSBT:0E000000020002006400⟧,Spielmünzen,Monete di gioco,⟦MSBT:0E000000020002005C00⟧Monedas de juego⟦MSBT:0E000000020002006400⟧,게임 코인 교환,Oyun Paraları
3,RotateKey,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧
4,RotateText,Rotate,Rotation,Drehen,Ruota,Girar,회전,Döndür
5,ZoomKey,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧
6,ZoomTextLarge,⟦MSBT:0E000000020002006400⟧Zoom +⟦MSBT:0E000000020002006400⟧,Zoom +,⟦MSBT:0E000000020002006400⟧+ Zoom⟦MSBT:0E000000020002006400⟧,Zoom +,Acercar,크게,⟦MSBT:0E000000020002006400⟧Büyüt +⟦MSBT:0E000000020002006400⟧
7,ZoomTextSmall,⟦MSBT:0E000000020002006400⟧Zoom -⟦MSBT:0E000000020002006400⟧,Zoom -,⟦MSBT:0E000000020002006400⟧- Zoom⟦MSBT:0E000000020002006400⟧,Zoom -,Alejar,작게,⟦MSBT:0E000000020002004B00⟧Küçült -⟦MSBT:0E000000020002006400⟧
8,NoDataText,You don't have this keychain.,Vous n'avez pas ce porte-clés.,⟦MSBT:0E000000020002005B00⟧Du hast diesen Glücksbringer nicht.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Non possiedi questo portachiavi.⟦MSBT:0E000000020002006400⟧,No tienes este llavero.,이 키홀더는 아직 갖고 있지 않습니다.,Bu anahtarlık sende yok.
9,RestExchangeCount,⟦MSBT:0E00020001000000⟧/5,⟦MSBT:0E000000020002005A00⟧Encore ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,Noch ⟦MSBT:0E00020001000000⟧,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00020001000000⟧/5⟦MSBT:0E000000020002006400⟧,Llav.: ⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧회 남음,⟦MSBT:0E000000020002005A00⟧Kalan ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧
