index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,File,File,⟦MSBT:0E000000020002006200⟧Fichier ⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Datei⟦MSBT:0E000000020002006400⟧,File,⟦MSBT:0E000000020002005500⟧Archivo⟦MSBT:0E000000020002006400⟧,파일,Dos
1,FileUp,File,⟦MSBT:0E000000020002005A00⟧Fichier ⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Datei⟦MSBT:0E000000020002006400⟧,File,⟦MSBT:0E000000020002005500⟧Archivo⟦MSBT:0E000000020002006400⟧,파일,Dos
2,FileEmpty,Empty,Vide,Leer,Nuovo,⟦MSBT:0E000000020002005500⟧Vacío⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004400⟧빈 파일⟦MSBT:0E000000020002006400⟧,Boş
3,FileEmptyUp,Empty,Vide,Leer,Nuovo,⟦MSBT:0E000000020002005500⟧Vacío⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004400⟧빈 파일⟦MSBT:0E000000020002006400⟧,Boş
4,Number1,1,1,1,1,⟦MSBT:0E000000020002005A00⟧1⟦MSBT:0E000000020002006400⟧,1,1
5,Number1Up,1,1,1,1,⟦MSBT:0E000000020002005A00⟧1⟦MSBT:0E000000020002006400⟧,1,1
6,Number2,2,2,2,2,⟦MSBT:0E000000020002005A00⟧2⟦MSBT:0E000000020002006400⟧,2,2
7,Number2Up,2,2,2,2,⟦MSBT:0E000000020002005A00⟧2⟦MSBT:0E000000020002006400⟧,2,2
8,Number3,3,3,3,3,⟦MSBT:0E000000020002005A00⟧3⟦MSBT:0E000000020002006400⟧,3,3
9,Number3Up,⟦MSBT:0E000000020002005F00⟧3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧3⟦MSBT:0E000000020002006400⟧,3,⟦MSBT:0E000000020002005F00⟧3⟦MSBT:0E000000020002006400⟧
10,ClearPercent,Completion,Progression,geschafft,Progresso,⟦MSBT:0E000000020002006400⟧completado⟦MSBT:0E000000020002006400⟧,클리어 퍼센트,İlerleme
11,FileBackBtn,Title,Titre,Titel,⟦MSBT:0E000000020002004600⟧Titolo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005300⟧Título⟦MSBT:0E000000020002006400⟧,뒤로,⟦MSBT:0E000000020002005000⟧Başlık⟦MSBT:0E000000020002006400⟧
12,ModeBackBtn,Back,⟦MSBT:0E000000020002004900⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004A00⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002003C00⟧Indietro⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Atrás⟦MSBT:0E000000020002006400⟧,뒤로,Geri
13,#Unlock,,,,,,,
14,UnlockArena,"⟦MSBT:0E000000020002005500⟧You've unlocked the ⟦MSBT:0E00000003000400FF4B32FF⟧Arena⟦MSBT:0E00000003000400000000FF⟧,
a boss-battle gauntlet!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Vous avez accès à l'⟦MSBT:0E00000003000400FF4B32FF⟧arène⟦MSBT:0E00000003000400000000FF⟧,
un défi pour vous mesurer
aux boss du jeu !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Du hast die ⟦MSBT:0E00000003000400FF4B32FF⟧Arena ⟦MSBT:0E00000003000400000000FF⟧freigeschaltet.
Fordere die Bosse heraus!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005900⟧Hai sbloccato l'⟦MSBT:0E00000003000400FF4B32FF⟧Arena⟦MSBT:0E00000003000400000000FF⟧:
è sfida aperta ai boss!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Has desbloqueado ⟦MSBT:0E00000003000400FF4B32FF⟧El Coliseo⟦MSBT:0E00000003000400000000FF⟧,
¡entra y combate contra los jefes!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4B32FF⟧격투왕의 길⟦MSBT:0E00000003000400000000FF⟧을
플레이할 수 있게 되었습니다.
보스들이 내민 도전장!","⟦MSBT:0E000000020002005500⟧⟦MSBT:0E00000003000400FF4B32FF⟧Arena⟦MSBT:0E00000003000400000000FF⟧'nın kilidini açtın!
Patronlarla art arda savaş!⟦MSBT:0E000000020002006400⟧"
