index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,Staff,STAFF,STAFF,STAFF,STAFF,STAFF,,EKİP
1,Director,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,DIRECTOR,,YÖNETMEN
2,Director_00,SHINYA KUMAZAKI,SHINYA KUMAZAKI,SHINYA KUMAZAKI,SHINYA KUMAZAKI,SHINYA KUMAZAKI,,SHINYA KUMAZAKI
3,LeadLevelDesign,LEAD LEVEL DESIGN,LEAD LEVEL DESIGN,LEAD LEVEL DESIGN,LEAD LEVEL DESIGN,LEAD LEVEL DESIGN,,⟦MSBT:0E000000020002005E00⟧BAŞ BÖLÜM TASARIMI⟦MSBT:0E000000020002006400⟧
4,LeadLevelDesign_00,YUKI ENDO,YUKI ENDO,YUKI ENDO,YUKI ENDO,YUKI ENDO,,YUKI ENDO
5,AssistantDirector,ASSISTANT ＤＩＲＥＣＴＯＲ,ASSISTANT ＤＩＲＥＣＴＯＲ,ASSISTANT ＤＩＲＥＣＴＯＲ,ASSISTANT ＤＩＲＥＣＴＯＲ,ASSISTANT ＤＩＲＥＣＴＯＲ,,YARDIMCI YÖNETMEN
6,AssistantDirector_00,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,TATSUYA KAMIYAMA,,TATSUYA KAMIYAMA
7,AssistantDirector_01,NOBUYUKI OKADA,NOBUYUKI OKADA,NOBUYUKI OKADA,NOBUYUKI OKADA,NOBUYUKI OKADA,,NOBUYUKI OKADA
8,ProgramDirector,⟦MSBT:0E000000020002005A00⟧PROGRAMMING DIRECTOR⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧PROGRAMMING DIRECTOR⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧PROGRAMMING DIRECTOR⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧PROGRAMMING DIRECTOR⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧PROGRAMMING DIRECTOR⟦MSBT:0E000000020002006400⟧,,⟦MSBT:0E000000020002005400⟧PROGRAMLAMA YÖNETMENİ⟦MSBT:0E000000020002006400⟧
9,ProgramDirector_00,HIROAKI NAKANO,HIROAKI NAKANO,HIROAKI NAKANO,HIROAKI NAKANO,HIROAKI NAKANO,,HIROAKI NAKANO
