row,scope,id,english,ukenglish,french,nafrench,german,italian,spanish,naspanish,dutch,portuguese,russian,japanese,turkish_current,turkish_final,status,reason,creative_flag,font_missing,notes
1,tweaker,60370D96,Global time scaling factor for everything in the game.   Tune this to a lower number to help debug events that take place too quickly for you to see what is happening.,uke Time Scale,fre Time Scale,naf Time Scale,ger Time Scale,ita Time Scale,spa Time Scale,nas Time Scale,dut Time Scale,por Time Scale,rus Time Scale,jap Time Scale,Oyundaki her şey için genel zaman ölçeği. Çok hızlı olan olayları görmek için bunu düşür,Oyundaki her şey için genel zaman ölçekleme katsayısı. Göremeyecek kadar hızlı gerçekleşen olayları hata ayıklarken incelemek için daha düşük bir değere ayarla.,DEĞİŞTİ,Kaynak açıklamanın hata ayıklama amacı eksiksiz ve doğal Türkçeyle verildi.,,,2. tam manuel tur: EVET
2,tweaker,85DB6349,"If set to true, then all tasks will be run with a fixed fDeltaT value.  (normally fDeltaT is calculated based on the actual time difference since the last update)",uke Force Fixed Time Step,fre Force Fixed Time Step,naf Force Fixed Time Step,ger Force Fixed Time Step,ita Force Fixed Time Step,spa Force Fixed Time Step,nas Force Fixed Time Step,dut Force Fixed Time Step,por Force Fixed Time Step,rus Force Fixed Time Step,jap Force Fixed Time Step,True olursa tüm görevler sabit fDeltaT ile çalışır,"true yapılırsa tüm görevler sabit bir fDeltaT değeriyle çalışır. (Normalde fDeltaT, son güncellemeden bu yana geçen gerçek süre farkına göre hesaplanır.)",DEĞİŞTİ,Kaynağın parantez içindeki normal davranış açıklaması önceki kısa çeviride eksikti; tamamlandı.,,,2. tam manuel tur: EVET
3,tweaker,D1BDFA5A,"The fixed time step value used if ""Force Fixed Time Step"" is tweaked to true.",uke Fixed Time Step,fre Fixed Time Step,naf Fixed Time Step,ger Fixed Time Step,ita Fixed Time Step,spa Fixed Time Step,nas Fixed Time Step,dut Fixed Time Step,por Fixed Time Step,rus Fixed Time Step,jap Fixed Time Step,"""Force Fixed Time Step"" true ise kullanılan sabit zaman adımı değeri","""Force Fixed Time Step"" true ise kullanılan sabit zaman adımı değeri",KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
4,tweaker,761DAE7E,"When this tweak is set to true, we always do bounding box tests with no false positives. The tests become more expensive, but the results are more accurate, so there may or may not be a payoff.  It is false by default, try setting it to true to see if you have a false positive problem.",uke Use Perfect Frustum Tests,fre Use Perfect Frustum Tests,naf Use Perfect Frustum Tests,ger Use Perfect Frustum Tests,ita Use Perfect Frustum Tests,spa Use Perfect Frustum Tests,nas Use Perfect Frustum Tests,dut Use Perfect Frustum Tests,por Use Perfect Frustum Tests,rus Use Perfect Frustum Tests,jap Use Perfect Frustum Tests,True olursa sınır kutusu testleri yanlış pozitif vermeden yapılır; daha pahalı ama daha doğrudur,Bu ayar true olduğunda sınır kutusu testleri yanlış pozitif üretmeyecek şekilde yapılır. Testler daha maliyetli olur ama sonuçlar daha doğrudur; performans kazancı olup olmayacağı duruma bağlıdır. Varsayılan değer false'tur; yanlış pozitif sorunu yaşadığını düşünüyorsan true yapıp dene.,DEĞİŞTİ,"Kaynağın doğruluk/maliyet dengesi, varsayılan değer ve kullanım önerisi önceki özetten eksiksiz çeviriye genişletildi.",,,2. tam manuel tur: EVET
5,tweaker,946EE384,Intentionally dereference a bad pointer to crash the game.  May be useful to test things like callstack dumpers.,uke Crash Application,fre Crash Application,naf Crash Application,ger Crash Application,ita Crash Application,spa Crash Application,nas Crash Application,dut Crash Application,por Crash Application,rus Crash Application,jap Crash Application,Oyunu çökertmek için bilerek bozuk işaretçi çözümlemesi yapar; callstack dökücüleri test etmekte işe yarayabilir,Oyunu çökertmek için bilerek bozuk işaretçi çözümlemesi yapar; callstack dökücüleri test etmekte işe yarayabilir,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
6,tweaker,DBAF3D60,Controls how fast the camera spins around the target.   ,uke Angle Control Speed Scale,fre Angle Control Speed Scale,naf Angle Control Speed Scale,ger Angle Control Speed Scale,ita Angle Control Speed Scale,spa Angle Control Speed Scale,nas Angle Control Speed Scale,dut Angle Control Speed Scale,por Angle Control Speed Scale,rus Angle Control Speed Scale,jap Angle Control Speed Scale,Kameranın hedef etrafında dönme hızını belirler,Kameranın hedef etrafında dönme hızını belirler,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
7,tweaker,F32D99AE,"Controls how fast the target moves.  This is the minumum value, but the target moves faster when the camera is further out.",uke Position Control Speed Scale,fre Position Control Speed Scale,naf Position Control Speed Scale,ger Position Control Speed Scale,ita Position Control Speed Scale,spa Position Control Speed Scale,nas Position Control Speed Scale,dut Position Control Speed Scale,por Position Control Speed Scale,rus Position Control Speed Scale,jap Position Control Speed Scale,"Hedefin hareket hızını belirler; bu en düşük değerdir, kamera uzaklaştıkça hedef daha hızlı hareket eder","Hedefin hareket hızını belirler; bu en düşük değerdir, kamera uzaklaştıkça hedef daha hızlı hareket eder",KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
8,tweaker,10381968,Controls how fast the target height moves.  This is the also effected by sfPositionControlSpeedScale,uke Height Speed Ratio,fre Height Speed Ratio,naf Height Speed Ratio,ger Height Speed Ratio,ita Height Speed Ratio,spa Height Speed Ratio,nas Height Speed Ratio,dut Height Speed Ratio,por Height Speed Ratio,rus Height Speed Ratio,jap Height Speed Ratio,Hedef yüksekliğinin ne kadar hızlı hareket ettiğini belirler. Bu değer sfPositionControlSpeedScale tarafından da etkilenir,Hedef yüksekliğinin ne kadar hızlı hareket ettiğini belirler. Bu değer sfPositionControlSpeedScale tarafından da etkilenir,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
9,tweaker,434F1611,This controls how much faster the target moves when the camera is further out.,uke Speed Dependency On Zoom,fre Speed Dependency On Zoom,naf Speed Dependency On Zoom,ger Speed Dependency On Zoom,ita Speed Dependency On Zoom,spa Speed Dependency On Zoom,nas Speed Dependency On Zoom,dut Speed Dependency On Zoom,por Speed Dependency On Zoom,rus Speed Dependency On Zoom,jap Speed Dependency On Zoom,Kamera uzaklaştıkça hedefin ne kadar daha hızlı hareket edeceğini belirler,Kamera uzaklaştıkça hedefin ne kadar daha hızlı hareket edeceğini belirler,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
10,tweaker,2E6F5E46,Enable this to render a crosshair for the debug cam target.,uke Render Target,fre Render Target,naf Render Target,ger Render Target,ita Render Target,spa Render Target,nas Render Target,dut Render Target,por Render Target,rus Render Target,jap Render Target,Hata ayıklama kamerası hedefi için nişangâh çizimini aç,Hata ayıklama kamerası hedefi için nişangâh çizimini aç,KALDI,"TEK TEK MANUEL KONTROL: geliştirici/debug metni anlam, teknik terim ve Türkçe doğallık açısından gözden geçirildi; mevcut ifade uygun bulundu.",,,2. tam manuel tur: EVET
