row,scope,id,english,ukenglish,french,nafrench,german,italian,spanish,naspanish,dutch,portuguese,russian,japanese,turkish_current,turkish_final,status,reason,creative_flag,font_missing,notes
1,fe,4D9E7A85,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.{p}{p}Nintendo et Next Level Games sont les auteurs de ce logiciel{p}au regard du droit d'auteur. Tous droits réservés.,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.,Nintendo and Next Level Games are the authors of this software {p}for the purpose of copyright. All rights reserved.,Nintendo and Next Level Games are the {p}authors of this software for the purpose {p}of copyright. All rights reserved.,Nintendo and Next Level Games are the {p}authors of this software for the purpose {p}of copyright. All rights reserved.,Bu yazılımın telif hakkı bakımından sahibi Nintendo ve Next Level Games'dir.{p}Tüm hakları saklıdır.,Bu yazılımın telif hakkı sahipleri Nintendo ve Next Level Games'tir.{p}Tüm hakları saklıdır.,DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
2,fe,6192289D,Touch the map to draw your teammates'{p}attention to points of interest!,Touch the map to draw your teammates'{p}attention to points of interest!,Touchez un point sur la carte pour attirer{p}l'attention de vos coéquipiers !,Touchez un point sur la carte pour attirer{p}l'attention de vos coéquipiers!,"Berühre die Karte, um deine Mitspieler{p}auf bestimmte Orte hinzuweisen!",Tocca la mappa per attirare l'attenzione{p}dei tuoi compagni sui punti di interesse!,Toca un punto del mapa para llamar la atención{p}de tus compañeros a un punto concreto.,Toca un punto del mapa para llamar la atención{p}de tus compañeros a un punto concreto.,Raak de kaart aan om interessante plekken{p}te markeren voor je teamgenoten!,Toque no mapa para chamar a atenção dos{p}seus companheiros para um ponto específico.,"Коснись места на карте,{p}чтобы подать игрокам сигнал.",マップにタッチしたその{rb}場所{/rb}{rt}ばしょ{/rt}は{p}チームメイトにも{rb}見{/rb}{rt}み{/rt}えておるぞい！,Haritada bir noktaya dokunarak takım{p}arkadaşlarının dikkatini oraya çek!,Haritada bir noktaya dokunarak takım{p}arkadaşlarının dikkatini oraya çek!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
3,fe,650670B4,4th Place!,4th place!,4e place !,4e place!,4. Platz!,4° posto!,¡Cuarto puesto!,¡Cuarto lugar!,4e plaats!,4º Lugar!,4-е место!,{vs:-2}{ts:1.1}4th!{p}{/ts}{/vs},4. Sıra!,4. Sıra!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
4,fe,D57B7FCD,3rd Place!,3rd place!,3e place !,3e place!,3. Platz!,3° posto!,¡Tercer puesto!,¡Tercer lugar!,3e plaats!,3º Lugar!,3-е место!,{vs:-2}{ts:1.1}3rd!{p}{/ts}{/vs},3. Sıra!,3. Sıra!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
5,fe,B550B7E8,2nd Place!,2nd place!,2e place !,2e place!,2. Platz!,2° posto!,¡Segundo puesto!,¡Segundo lugar!,2e plaats!,2º Lugar!,2-е место!,{vs:-2}{ts:1.1}2nd!{p}{/ts}{/vs},2. Sıra!,2. Sıra!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
6,fe,6F449CDC,1st Place!,1st place!,1re place !,1re place!,1. Platz!,1° posto!,¡Primer puesto!,¡Primer lugar!,1e plaats!,1º Lugar!,1-е место!,{vs:-2}{ts:1.1}1st!{p}{/ts}{/vs},1. Sıra!,1. Sıra!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
7,fe,D9076841,Vault Bonus,Vault Bonus,Bonus :,Bonus :,Speicher-Bonus,Bonus caveau,Parte del botín:,Parte del botín:,Kluisbonus,Bónus do Cofre,Награда,{ts:0.7}ギャラリーボーナス{/ts},Kasa Bonusu,Kasa Bonusu,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
8,fe,04137972,Vault{p}Bonus,Vault{p}Bonus,Bonus,Bonus,Speicher-{p}Bonus,Bonus{p}caveau,Parte{p}del botín,Parte{p}del botín,Kluis-{p}bonus,Bónus{p}do Cofre,Награда,{vs:3}{hs:-3}{ts:0.85}ギャラリー{p}ボーナス{/ts}{/hs}{/vs},Kasa{p}Bonusu,Kasa{p}Bonusu,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
9,fe,07A533C9,Surprise Mode,Surprise Mode,Mode hasard,Mode hasard,Zufalls-Modus,Modalità Sorpresa,Modo Sorpresa,Modo Sorpresa,Verrassingsstand,Modo Surpresa,Режим Сюрприз,{ts:0.9}　ランダムタワー{/ts},Sürpriz Modu,Sürpriz Modu,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
10,fe,3F3C60F0,Rush Mode,Rush Mode,Mode sprint,Mode sprint,Tempo-Modus,Modalità Tempo,Modo Tiempo,Modo Tiempo,Tijdnoodstand,Modo de Tempo,Режим Спринт,{ts:0.9}　クライマータワー{/ts},Acele Modu,Zamana Karşı Modu,DEĞİŞTİ,"İlk manuel turda düzeltilen satır, ikinci tam turda İngilizce/UK ve diğer resmî dillerle yeniden karşılaştırıldı; mevcut ifade en iyi seçenek olarak doğrulandı.",,,2. tam manuel tur: EVET
11,fe,7FB3D2C8,Polterpup Mode,Polterpup Mode,Mode traque,Mode traque,Pinscher-Modus,Modalità Poltercuccioli,Modo Ectochucho,Modo Espectrochucho,Polterpupstand,Modo de Fantacães,Режим Следопыт,{ts:0.9}　チェイサータワー{/ts},Polterpup Modu,Polterpup Modu,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",YARATICI_ADAY,,Polterpup diğer dillerde Ectochien/Polterpinscher/Ectochucho vb. yeniden adlandırılıyor. Franchise tanınırlığı için şimdilik korundu; Türkçe aday: “Polterpati”. | 2. tam manuel tur: EVET
12,fe,25A04DA8,Hunter Mode,Hunter Mode,Mode chasse,Mode chasse,Jäger-Modus,Modalità Cacciatore,Modo Caza,Modo Caza,Jachtstand,Modo de Caça,Режим Охота,{ts:0.9}　ハンタータワー{/ts},Av Modu,Av Modu,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
13,fe,C650643A,You have unlocked Surprise Mode!,You have unlocked{p}Surprise mode!,Vous avez maintenant accès{p}au mode hasard !,Vous avez maintenant accès{p}au mode hasard!,Du hast den Zufalls-Modus{p}freigeschaltet!,Hai sbloccato la{p}modalità Sorpresa!,¡Has desbloqueado el modo Sorpresa!,¡Desbloqueaste el modo Sorpresa!,De verrassingsstand is nu beschikbaar!,Desbloqueou o Modo Surpresa!,Разблокирован{p}режим Сюрприз!,{ts:1.1}{p}マルチプレイでランダムタワーが{p}{rb}選{/rb}{rt}えら{/rt}べるようになったぞ！{/ts},Sürpriz Modu'nun kilidini açtın!,Sürpriz Modu'nun kilidini açtın!,KALDI,"TEK TEK MANUEL KONTROL: İngilizce/UK kaynak ve resmî dillerle karşılaştırıldı; anlam, doğal Türkçe, karakter sesi, terim ve bağlam açısından değişiklik gerekmedi.",,,2. tam manuel tur: EVET
