File,EntryIndex,Label,SourceLabel,XScale,YScale,SecondarySourceLabel,EU_English,EU_French,EU_German,EU_Spanish,EU_Italian,EU_Dutch,EU_Portuguese,EU_Russian,Turkish
minigame/mgBtl.bmsm,0,Btl_title_logo_00,mgBtl_title_logo,1,1,mgBtl_telop_up_s,StreetPass Battle,Conquête StreetPass,Die große Schlacht,Conquista Mii, Grande battaglia StreetPass ,Veldslag,Conquista StreetPass,Крепость StreetPass,Mii Fethi
minigame/mgBtl.bmsm,1,Btl_title_logo_00_s,mgBtl_title_logo_s,1,1,mgBtl_telop_up_s,StreetPass Battle,Conquête StreetPass,Die große Schlacht,Conquista Mii, Grande battaglia StreetPass ,Veldslag,Conquista StreetPass,Крепость StreetPass,Mii Fethi
minigame/mgBtl.bmsm,2,Btl_title_logo_trial,mgBtl_title_logo,1,1,mgBtl_telop_up_s,##,##,##,##,##,##,##,##,##
minigame/mgBtl.bmsm,3,Btl_title_logo_trial_s,mgBtl_title_logo_s,1,1,mgBtl_telop_up_s,##,##,##,##,##,##,##,##,##
minigame/mgBtl.bmsm,4,Btl_intro_msg_00,mgBtl_comment_m,1,1,nil,Welcome to StreetPass Battle!,"Bienvenue dans
Conquête StreetPass !","Willkommen zu
„Die große Schlacht“!",¡Aquí comienza Conquista Mii!,"Diamo inizio a
Grande battaglia StreetPass!",Welkom bij Veldslag!,Chegou à Conquista StreetPass!,"Добро пожаловать
в Крепость StreetPass!",
minigame/mgBtl.bmsm,5,Btl_intro_msg_01,mgBtl_comment_m,1,1,nil,"In this game, you build an army
and battle enemy forces to unite
a war-torn world under your rule.","Utilisez StreetPass pour lever
votre propre armée et partir
à la conquête du monde !","In diesem Spiel stellst du eine
Armee auf, mit deren Hilfe du
um die Weltherrschaft kämpfst.","¡Consigue tu propio ejército y
enfréntate a otros reinos para
conquistar el mundo entero!","In questo gioco dovrai formare un
esercito e combattere contro altri
paesi per dominare il mondo!","In dit spel breng je een leger op
de been om een door oorlog
verscheurde wereld te veroveren.","Neste jogo, irá criar um exército
e combater forças inimigas para
unir e governar o mundo inteiro.","Собери армию и сражайся
с вражескими войсками,
чтобы возглавить мир.",
minigame/mgBtl.bmsm,6,Btl_intro_confirm,mgBtl_comment_m,1,1,nil,Are you ready to begin?,Partir à la conquête du monde ?,Möchtest du loslegen?,¿Quieres comenzar la conquista?,Te la senti di cominciare?,Ben je er klaar voor?,Tudo a postos para começar?,Все готовы?,Başlamaya hazır mısın?
minigame/mgBtl.bmsm,7,Btl_intro_confirm_yes,mgBtl_button_m1,1,1,nil,"Yes, of course!",Oui !,Aber natürlich!,¡Por supuesto!,Ma certo!,Ja!,"Sim, claro!","Да, конечно!",
minigame/mgBtl.bmsm,8,Btl_intro_confirm_no,mgBtl_button_m1,1,1,nil,Not right now...,Non...,Lieber später...,Mejor luego...,Non ancora...,Misschien later...,Ainda não...,Не сейчас...,Şimdilik olmaz...
minigame/mgBtl.bmsm,9,Btl_intro_result_yes,mgBtl_comment_m,1,1,nil,Then let us set forth!,"Dans ce cas... En avant, marche !",Dann lass uns beginnen!,¡Pues todos a las armas!,"Alle armi, dunque!","Goed dan. Voorwaarts, mars!","Então, avante!",Тогда вперед!,
minigame/mgBtl.bmsm,10,Btl_intro_result_no,mgBtl_comment_m,1,1,nil,"So be it! Return when you
feel the desire for conquest!","Très bien... Revenez quand vous
vous sentirez d'attaque !","Nun gut. Dann sehen wir uns
zu gegebener Zeit wieder!","De acuerdo... ¡Vuelve
cuando tengas ganas
de dominar el mundo!","Capisco... Beh, torna pure
quando vuoi!","Het zij zo! Keer terug zodra je
de wereld wenst te veroveren!","Como preferir. Volte quando
quiser sentir o doce sabor
da vitória.","Так тому и быть! Возвращайся,
когда тебя одолеет
жажда завоеваний.",
minigame/mgBtl.bmsm,11,Btl_title_press,mgBtl_telop_m,1,1,mgBtl_telop_up_s,PRESS ,Appuyez sur ,Drücke ,Pulsa ,Premi ,Druk op ,Prima ,НАЖМИ , TUŞUNA BAS
minigame/mgBtl.bmsm,12,Btl_title_copyright,mgBtl_copyright,1,1,nil,©2013 Nintendo  Developed by Spike Chunsoft,©2013 Nintendo  Developed by Spike Chunsoft,©2013 Nintendo  Developed by Spike Chunsoft,©2013 Nintendo  Developed by Spike Chunsoft,©2013 Nintendo  Developed by Spike Chunsoft,©2013 Nintendo  Developed by Spike Chunsoft,©2013 Nintendo  Developed by Spike Chunsoft,©2013 Nintendo  Developed by Spike Chunsoft,
