Index,Label,English,French,German,Spanish,Italian,Dutch,Portuguese,Russian,Turkish,TR_Notes,Ref_MaxLines,Ref_MaxLinePx,Ref_MaxUtf16Bytes
0,title_meet_logo,StreetPass Mii Plaza,Place Mii StreetPass,StreetPass Mii-Lobby,Plaza Mii de StreetPass,Piazza Mii StreetPass,StreetPass Mii-park,Praça Mii StreetPass,Площадь StreetPass Mii,StreetPass Mii Meydanı,,1,543,48
1,park_logo,Plaza,Place,Lobby,Plaza,Piazza,Park,Praça,Площадь,Meydan,,1,204,16
2,panel_logo,Puzzle Swap,Puzzle troc,Puzzle-Tausch,En busca del cromo,Pazzi per i pezzi,Puzzelruil,Troca-Puzzle,Собери пазл,Yapboz Takası,,1,452,38
3,panel_exp,Collect pieces to make a 3D picture!,Rassemblez les pièces d'une image 3D !,Sammele alle Teile für ein 3D-Bild!,¡Completa la imagen 3D con cromos!,Raccogli i pezzi di un'immagine in 3D!,Verzamel stukjes en vorm een 3D-plaatje!,"Reúna peças para construir uma
imagem em 3D!",Собери элементы 3D-пазла!,"Parçaları topla, 3B resmi tamamla!",,2,950,90
4,legend_logo,StreetPass Quest,Mii en péril,Rette die Krone!,Rescate Mii,Libera Mii,Mii in misère,O Resgate Mii,Спаси Mii,Mii’yi Kurtar!,,1,389,34
5,legend2_logo,StreetPass Quest,Mii en péril,Rette die Krone,Rescate Mii,Libera Mii,Mii in misère,O Resgate Mii,Спаси Mii,Mii’yi Kurtar!,,1,389,34
6,legend_exp,"Gather heroes, fight monsters and
collect hats for your Mii!","Enrôlez des héros, défiez des monstres et
obtenez des couvre-chefs pour votre Mii !","Sammele Helden, bezwinge Monster
und entdecke tolle Kopfbedeckungen!","¡Recluta héroes, lucha contra monstruos
y consigue estupendos sombreros!","Raduna gli eroi, sconfiggi i mostri
e colleziona copricapi per il tuo Mii!","Huur helden in, vecht tegen monsters
en verzamel hoofddeksels voor je Mii!","Reúna heróis, enfrente monstros
e junte chapéus para o seu Mii!","Сражайся с чудовищами и собирай
головные уборы для твоего Mii!","Kahramanları topla, canavarlarla savaş
ve Mii’n için şapkalar kazan!",,2,955,168
7,legend_exp2,"Try starting your quest anew to
discover new hats!","Essayez de recommencer l'aventure
afin d'obtenir tous les couvre-chefs !","Stelle dich den Aufgaben erneut,
um neue Kopfbedeckungen zu erhalten!","Comienza de nuevo la aventura para
encontrar los sombreros que te faltan.","Prova a ricominciare l'avventura
per trovare nuovi copricapi!","Speel het avontuur nog eens om
nieuwe hoofddeksels te ontdekken!","Recomece o resgate para
encontrar novos chapéus!","Попробуй пройти игру заново,
чтобы найти новые головные уборы!","Yeni şapkalar bulmak için
maceraya baştan başla!",,2,911,148
8,legend_exp3,"Fight the monsters again and collect all
the original StreetPass Quest hats!","Affrontez de nouveau les monstres
et récupérez tous les couvre-chefs !","Bezwinge die Monster erneut und finde alle
Kopfbedeckungen aus „Rette die Krone!“.","¡Lucha de nuevo contra los monstruos y
colecciona los sombreros de Rescate Mii!","Sconfiggi di nuovo i mostri e
raccogli tutti i copricapi originali
di Libera Mii!","Versla de monsters opnieuw en vind alle
klassieke hoofddeksels uit Mii in misère!","Enfrente novamente os monstros e reúna
todos os chapéus de O Resgate Mii!","Сразись с чудовищами вновь и собери
все головные уборы игры Спаси Mii!","Canavarlarla yeniden savaş ve Mii’yi
Kurtar!’daki tüm orijinal şapkaları topla!",,3,987,166
9,legend_exp4,"Delve deeper into the quest and
seek out undiscovered hats!","Continuez l'aventure et récupérez
tous les couvre-chefs !","Tauche noch tiefer ins Abenteuer ein und
entdecke noch mehr Kopfbedeckungen!","¡Continúa la aventura para encontrar
todos los sombreros!","Addentrati ancor di più nell'avventura
e scova altri copricapi nascosti!","Duik dieper in het avontuur en ontdek
leuke, nieuwe hoofddeksels!","Embrenhe-se ainda mais no resgate
e procure chapéus ainda por descobrir!","Пройди игру вновь и собери еще
необнаруженные головные уборы!","Maceranın derinlerine in ve
keşfedilmemiş şapkaları bul!",,2,944,154
10,map_logo,StreetPass Map,Carte StreetPass,StreetPass-Karte,Mapa de StreetPass,Mappa StreetPass,StreetPass-kaart,Mapa StreetPass,Карта StreetPass,StreetPass Haritası,,1,454,38
11,panelplus_logo,Puzzle Swap,Puzzle troc,Puzzle-Tausch,En busca del cromo,Pazzi per i pezzi,Puzzelruil,Troca-Puzzle,Собери пазл,Yapboz Takası,,1,452,38
12,default_greeting,,,,,,,,,,,1,0,2
13,news_meet,You've got company!,De la visite !,Du hast Besuch!,¡Nueva incorporación!,Hai visite!,Je hebt bezoek!,Tem companhia!,У тебя гости!,Misafirin var!,,1,507,44
14,cmn_x_u,,,,,,,,,,,1,0,2
15,cmn_a_u,[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],,1,45,4
16,cmn_whipout_u,Take out the stylus!,Sortez le stylet !,Nimm den Touchpen zur Hand!,¡Saca el lápiz!,Estrai lo stilo!,Pak de stylus!,Pegue no stylus!,Достань стилус!,Dokunmatik kalemi çıkar!,,1,711,56
17,cmn_xx_d,,,,,,,,,,,1,0,2
18,cmn_home_d,[[CHR:E073]]: Return to HOME Menu,[[CHR:E073]] Retourner au menu HOME,[[CHR:E073]] Zurück zum HOME-Menü,[[CHR:E073]] Volver al menú HOME,[[CHR:E073]] Torna al menu HOME,[[CHR:E073]] Terug naar het HOME-menu,[[CHR:E073]]: Regressar ao Menu HOME,[[CHR:E073]] — вернуться в меню HOME,[[CHR:E073]]: HOME Menüsüne dön,,1,708,54
19,cmn_ok_d,OK,OK,Okay,Aceptar,OK,Oké,OK,OK,Tamam,,1,175,16
20,cmn_r_back_d,Back,Retour,Zurück,Atrás,Indietro,Terug,Anterior,Назад,Geri,,1,181,18
21,cmn_choice_d,Select,Sélection,Wählen,Elegir,Scegli,Kiezen,Escolher,Выбрать,Seç,,1,209,20
22,cmn_r_a_d,[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],[[CHR:E000]],,1,45,4
