AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
,Area57,<0E:0009:0000:0C00>Bowsers kasteel - Mortons kamer,<0E:0009:0000:0C00>Bowser's Castle: Morton's Room,<0E:0009:0000:0C00>Château de Bowser - Quartiers de Morton,<0E:0009:0000:0C00>Bowsers Festung – Mortons Gemach,<0E:0009:0000:0C00>Castello di Bowser - Stanza di Morton,<0E:0009:0000:0C00>Castillo de Bowser: Cuarto de Morton,<0E:0009:0000:0C00>Bowser'ın Şatosu: Morton'un Odası
,Area58,<0E:0009:0000:0C00>Bowsers kasteel - Lemmy's kamer,<0E:0009:0000:0C00>Bowser's Castle: Lemmy's Room,<0E:0009:0000:0C00>Château de Bowser - Quartiers de Lemmy,<0E:0009:0000:0C00>Bowsers Festung – Lemmys Gemach,<0E:0009:0000:0C00>Castello di Bowser - Stanza di Lemmy,<0E:0009:0000:0C00>Castillo de Bowser: Cuarto de Lemmy,<0E:0009:0000:0C00>Bowser'ın Şatosu: Lemmy'nin Odası
,Area01,<0E:0009:0000:0C00>Sterrenstofvelden,<0E:0009:0000:0C00>Stardust Fields,<0E:0009:0000:0C00>Plateau Stella,<0E:0009:0000:0C00>Sternschnuppenfeld,<0E:0009:0000:0C00>Piano Astrale,<0E:0009:0000:0C00>Campos astrales,<0E:0009:0000:0C00>Yıldız Tozu Ovaları
,Area59,<0E:0009:0000:0C00>Bowsers kasteel - Ludwigs kamer,<0E:0009:0000:0C00>Bowser's Castle: Ludwig's Room,<0E:0009:0000:0C00>Château de Bowser - Quartiers de Ludwig,<0E:0009:0000:0C00>Bowsers Festung – Ludwigs Gemach,<0E:0009:0000:0C00>Castello di Bowser - Stanza di Ludwig,<0E:0009:0000:0C00>Castillo de Bowser: Cuarto de Ludwig,<0E:0009:0000:0C00>Bowser'ın Şatosu: Ludwig'in Odası
,Area02,<0E:0009:0000:0C00>Hiha-dorp,<0E:0009:0000:0C00>Hoohoo Village,<0E:0009:0000:0C00>Village Uf,<0E:0009:0000:0C00>Lachdorf,<0E:0009:0000:0C00>Villaggio Tiritera,<0E:0009:0000:0C00>Pueblo Juajuá,<0E:0009:0000:0C00>Huhu Köyü
,Area04,<0E:0009:0000:0C00>Noordwest-Booninkrijk,<0E:0009:0000:0C00>NW Beanbean,<0E:0009:0000:0C00>Nord-ouest de Végésia,<0E:0009:0000:0C00>Bohnenland NW,<0E:0009:0000:0C00>Fagiolandia Nord Ovest,<0E:0009:0000:0C00>Noroeste del castillo,<0E:0009:0000:0C00>Kuzeybatı Fasulya Krallığı
,Area05,<0E:0009:0000:0C00>West-Booninkrijk,<0E:0009:0000:0C00>West Beanbean,<0E:0009:0000:0C00>Ouest de Végésia,<0E:0009:0000:0C00>Bohnenland West,<0E:0009:0000:0C00>Fagiolandia Ovest,<0E:0009:0000:0C00>Oeste del castillo,<0E:0009:0000:0C00>Batı Fasulya Krallığı
,Area06,<0E:0009:0000:0C00>Zuidwest-Booninkrijk,<0E:0009:0000:0C00>SW Beanbean,<0E:0009:0000:0C00>Sud-ouest de Végésia,<0E:0009:0000:0C00>Bohnenland SW,<0E:0009:0000:0C00>Fagiolandia Sud Ovest,<0E:0009:0000:0C00>Suroeste del castillo,<0E:0009:0000:0C00>Güneybatı Fasulya Krallığı
,Area07,<0E:0009:0000:0C00>Noord-Booninkrijk,<0E:0009:0000:0C00>North Beanbean,<0E:0009:0000:0C00>Nord de Végésia,<0E:0009:0000:0C00>Bohnenland Nord,<0E:0009:0000:0C00>Fagiolandia Nord,<0E:0009:0000:0C00>Norte del castillo,<0E:0009:0000:0C00>Kuzey Fasulya Krallığı
,Area08,<0E:0009:0000:0C00>Zuid-Booninkrijk,<0E:0009:0000:0C00>South Beanbean,<0E:0009:0000:0C00>Sud de Végésia,<0E:0009:0000:0C00>Bohnenland Süd,<0E:0009:0000:0C00>Fagiolandia Sud,<0E:0009:0000:0C00>Sur del castillo,<0E:0009:0000:0C00>Güney Fasulya Krallığı
