AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
,BtlGuide_02,<0E:0009:0000:0C00>De basis 2: vijanden verslaan,<0E:0009:0000:0C00>Basics #2: Damage and Defeat Foes,<0E:0009:0000:0C00>Bases ② : infliger des dégâts,<0E:0009:0000:0C00>Grundlagen ②: Schaden austeilen,<0E:0009:0000:0C00>Le basi #2: danni e nemici,<0E:0009:0000:0C00>Fundamentos 2: Infligir daño y vencer,"<0E:0009:0000:0C00>Temeller #2: Hasar Ver, Düşmanları Yen"
,KuttukiThunder_11,<0E:0009:0000:0C00>Schokstijf,<0E:0009:0000:0C00>Thunder Tickle,<0E:0009:0000:0C00>Décharge,<0E:0009:0000:0C00>Donnermagnet,<0E:0009:0000:0C00>Solletico di Tuono,<0E:0009:0000:0C00>Cosquillas Rayo,<0E:0009:0000:0C00>Yıldırım Gıdıklaması
,MoguHam_07_2,"<0E:0009:0000:0B00>Druk op <0E:0000:0003:00BB27FF><0E:0000:0003:E6E6E6FF> en Luigi springt uit de grond. Als je
dit onder een rond kuiltje in de grond doet, zal
hij een boon opgraven.","<0E:0009:0000:0B00>Press the <0E:0000:0003:00BB27FF><0E:0000:0003:E6E6E6FF> Button to make Luigi jump out of
the ground. Do this while he is beneath a
hollow to dig up buried beans.","<0E:0009:0000:0B00>Appuyez sur <0E:0000:0003:00BB27FF> <0E:0000:0003:E6E6E6FF>pour faire remonter Luigi à la
surface. S'il se situe sous une marque au
sol, il fera alors jaillir un pois.","<0E:0009:0000:0B00>Drücke  <0E:0000:0003:00BB27FF><0E:0000:0003:E6E6E6FF>, um Luigi aus der Erde springen
zu lassen. Befindet er sich unter einem Bohnen-
loch, so beförderst du dessen Inhalt zutage.","<0E:0009:0000:0B00>Se premi <0E:0000:0003:00BB27FF><0E:0000:0003:E6E6E6FF>, Luigi salta fuori dalla terra
e torna normale. Se sbuca da una zolla
con una X, dissotterrerà un Fagiolo!","<0E:0009:0000:0B00>Pulsa <0E:0000:0003:00BB27FF><0E:0000:0003:E6E6E6FF> para que Luigi salga a la superficie
y recupere su estado original. Si pulsas
el botón cuando esté en un hoyo con judía,
¡desenterrará la judía!","<0E:0009:0000:0B00>Luigi'yi yerden çıkarmak için <0E:0000:0003:00BB27FF><0E:0000:0003:E6E6E6FF> Düğmesine bas.
Bunu bir oyuk altındayken yaparsan gömülü
fasulyeyi çıkarırsın."
,menu_bgm_title_71,<0E:0009:0000:0C00>De beslissende strijd DX,<0E:0009:0000:0C00>Decisive Battleground DX,<0E:0009:0000:0C00>Bataille finale - DX,<0E:0009:0000:0C00>Schauplatz der Entscheidung -DX-,<0E:0009:0000:0C00>Cruciale campo di battaglia DX,<0E:0009:0000:0C00>Batalla decisiva (deluxe),<0E:0009:0000:0C00>Karar Savaşı DX
,BtlGuide_03,<0E:0009:0000:0C00>Aanvallen met sprong,<0E:0009:0000:0C00>Attacking with JUMP,<0E:0009:0000:0C00>Saut offensif,<0E:0009:0000:0C00>Sprung-Attacken,<0E:0009:0000:0C00>Attaccare in salto,<0E:0009:0000:0C00>Ataques salto,<0E:0009:0000:0C00>ZIPLAMA ile Saldırı
,MoguHam_07_3,"<0E:0009:0000:0B00>Als Luigi opspringt onder een vijand, vliegt die
de lucht in. Na de landing zal de vijand even
niet kunnen bewegen.","<0E:0009:0000:0B00>If Luigi pops up while beneath a foe, said foe
will go flying into the air. When it lands, it will
be unable to move for a short period of time.","<0E:0009:0000:0B00>S'il se situe sous un ennemi, celui-ci sera
projeté en l'air. En retombant sur le sol,
l'ennemi sera immobilisé pendant un instant.","<0E:0009:0000:0B00>Schießt Luigi jedoch unter einem Gegner aus
dem Boden, so fliegt der durch die Luft und kann
sich nach der Landung kurzzeitig nicht bewegen.","<0E:0009:0000:0B00>Se Luigi sbuca dal terreno sotto un nemico,
lo lancerà in aria. Una volta ricaduto,
l'avversario non potrà muoversi per un po'.","<0E:0009:0000:0B00>Si Luigi se sitúa debajo de un enemigo y sale
a la superficie, este saldrá despedido y, al
aterrizar, quedará inmovilizado unos instantes.","<0E:0009:0000:0B00>Luigi bir düşmanın altındayken yerden fırlarsa,
düşman havaya savrulur. Yere düştüğünde
kısa bir süre hareket edemez."
,menu_bgm_title_72,<0E:0009:0000:0C00>Klimmen DX,<0E:0009:0000:0C00>Climbing DX,<0E:0009:0000:0C00>Un brin de grimpette - DX,<0E:0009:0000:0C00>Aufstieg -DX-,<0E:0009:0000:0C00>Arrampicarsi DX,<0E:0009:0000:0C00>La escalada (deluxe),<0E:0009:0000:0C00>Tırmanış DX
,BtlGuide_04,<0E:0009:0000:0C00>Kijk en leer,<0E:0009:0000:0C00>Watch and Learn,<0E:0009:0000:0C00>Démo et essai,<0E:0009:0000:0C00>Demo und Üben,<0E:0009:0000:0C00>Guarda e impara,<0E:0009:0000:0C00>Observar y aprender,<0E:0009:0000:0C00>İzle ve Öğren
,BtlGuide_15_0,"<0E:0009:0000:0B00>Als je duoaanvallen te lastig vindt,
probeer dan de makkelijke aanvalsstand.","<0E:0009:0000:0B00>If you find that Bros. Attacks are too difficult
to perform, try utilizing Easy Attack Mode.","<0E:0009:0000:0B00>Si vous rencontrez des difficultés lors de
l'exécution d'attaques frères, le mode
d'attaque facile peut vous aider.","<0E:0009:0000:0B00>Benötigst du ein wenig Hilfe beim Ausführen
von Paar-Attacken, dann versuch's mal mit
dem <0E:0000:0003:2C64FFFF>Leichter-Angriff-Modus<0E:0000:0003:E6E6E6FF>!","<0E:0009:0000:0B00>Se eseguire Attacchi Fratelli ti riesce
troppo difficile, prova a usare la
modalità Attacco facile.","<0E:0009:0000:0B00>Si te cuesta llevar a cabo los ataques tándem,
prueba a usar el modo de ataque fácil.","<0E:0009:0000:0B00>Kardeş Saldırılarını yapmakta zorlanıyorsan
Kolay Saldırı Modu'nu kullanmayı dene."
,MoguHam_07_4,"<0E:0009:0000:0B00>Loop tegen <0E:0000:0003:2C64FFFF>duizelige<0E:0000:0003:E6E6E6FF> vijanden aan om een
gevecht te beginnen.","<0E:0009:0000:0B00>Walk into enemies while they are in a <0E:0000:0003:2C64FFFF>dizzy
<0E:0000:0003:E6E6E6FF>state to start a battle.","<0E:0009:0000:0B00>Profitez alors du fait qu'il soit <0E:0000:0003:2C64FFFF>étourdi<0E:0000:0003:E6E6E6FF> pour
engager le combat en allant à sa rencontre.","<0E:0009:0000:0B00>Ist dem Gegner erst einmal <0E:0000:0003:2C64FFFF>SCHWINDLIG<0E:0000:0003:E6E6E6FF>, ist das
ein guter Zeitpunkt, um einen Kampf mit ihm vom
Zaun zu brechen.","<0E:0009:0000:0B00>Quando un nemico è <0E:0000:0003:2C64FFFF>stordito<0E:0000:0003:E6E6E6FF>, può essere
conveniente andargli addosso per iniziare
uno scontro.","<0E:0009:0000:0B00>¡Aprovecha el <0E:0000:0003:2C64FFFF>mareo<0E:0000:0003:E6E6E6FF> del enemigo
para ir hacia él e iniciar el combate!","<0E:0009:0000:0B00>Savaşı başlatmak için düşmanlar <0E:0000:0003:2C64FFFF>sersem
<0E:0000:0003:E6E6E6FF> durumdayken üzerlerine yürü."
,menu_bgm_title_73,"<0E:0009:0000:0C00>Kom, we gaan! DX",<0E:0009:0000:0C00>Let's Go! DX,<0E:0009:0000:0C00>Dans la mêlée - DX,<0E:0009:0000:0C00>Auf geht's! -DX-,<0E:0009:0000:0C00>Avanti tutti quanti! DX,<0E:0009:0000:0C00>¡Okey Dokey! (deluxe),<0E:0009:0000:0C00>Haydi Gidelim! DX
,menu_scenario_next_20,"<0E:0009:0000:0600>Prinses Peach komt naar het Booninkrijk.
Ga haar op de luchthaven begroeten.","<0E:0009:0000:0600>Princess Peach is coming to the
Beanbean Kingdom! Go and greet
her at Beanbean Airport.","<0E:0009:0000:0600>La Princesse Peach va atterrir à l'aéroport du
Royaume de Végésia. Courez l'y accueillir !","<0E:0009:0000:0600>Prinzessin Peach kommt nach Bohnenland!
Begrüße sie am Internationalen Flughafen.","<0E:0009:0000:0600>La Principessa Peach visita il Regno di
Fagiolandia! Vai ad accoglierla all'Aeroporto.","<0E:0009:0000:0600>¡La princesa Peach va a visitar el Reino Judía!
Hay que ir a recogerla al aeropuerto.","<0E:0009:0000:0600>Prenses Peach Fasulya Krallığı'na geliyor!
Onu karşılamak için Fasulya Havalimanı'na git."
,BtlGuide_05,<0E:0009:0000:0C00>De basis 3: de HP van Mario en Luigi,<0E:0009:0000:0C00>Basics #3: Watch Mario & Luigi's HP,<0E:0009:0000:0C00>Bases ③ : surveillez les PV !,<0E:0009:0000:0C00>Grundlagen ③: Achte auf die KP!,<0E:0009:0000:0C00>Le basi #3: i PV di Mario e Luigi,<0E:0009:0000:0C00>Fundamentos 3: Atención a la VIDA,<0E:0009:0000:0C00>Temeller #3: Mario ve Luigi'nin HP'sine Dikkat
,BtlGuide_06_0,"<0E:0009:0000:0B00>Mario en Luigi kunnen tijdens vijandelijke
aanvallen ook acties uitvoeren. Als ze hurken,
kun je een <0E:0000:0003:2C64FFFF>countersprong<0E:0000:0003:E6E6E6FF> uitvoeren.","<0E:0009:0000:0B00>Mario and Luigi can also perform actions during
enemy attacks. They can do a <0E:0000:0003:2C64FFFF>jump guard <0E:0000:0003:E6E6E6FF>when
either of them crouches down.","<0E:0009:0000:0B00>Si Mario et Luigi s'accroupissent quand
l'ennemi attaque, cela signifie qu'ils sont
prêts à réaliser un <0E:0000:0003:2C64FFFF>saut défensif<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Mario und Luigi signalisieren ihre Bereitschaft,
zu einer <0E:0000:0001:0500><0E:0000:0003:2C64FFFF>Sprung-Verteidigung<0E:0000:0003:E6E6E6FF><0E:0000:0001:FFFF>, indem sie kurz vor
einem gegnerischen Angriff in die Knie gehen.","<0E:0009:0000:0B00>Mario e Luigi possono eseguire azioni anche
durante gli attacchi nemici. Se uno dei due
si accuccia, possono usare il <0E:0000:0003:2C64FFFF>salto difensivo<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Mario y Luigi pueden realizar acciones cuando
los enemigos les atacan. Si se agachan, están
preparados para que hagas un <0E:0000:0003:2C64FFFF>salto defensa<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0B00>Mario ve Luigi düşman saldırıları sırasında da
eylem yapabilir. İkisinden biri çömeldiğinde
<0E:0000:0003:2C64FFFF>Zıplama Savunması <0E:0000:0003:E6E6E6FF>yapabilirsin."
,BtlGuide_15_1,"<0E:0009:0000:0B00>Deze stand verbruikt meer DP,
maar maakt de timing van de
duoaanvallen makkelijker.","<0E:0009:0000:0B00>Although this mode requires more BP,
it makes it easier to successfully
time Bros. Attacks.","<0E:0009:0000:0B00>Lorsqu'il est activé, vous utilisez plus de PF,
mais l'action est ralentie et les attaques
sont plus faciles à exécuter parfaitement.","<0E:0009:0000:0B00>Er bewirkt, dass du deine Attacken leichter zum
erfolgreichen Abschluss bringen kannst. Jedoch
musst du erhöhte BP-Kosten in Kauf nehmen.","<0E:0009:0000:0B00>Questa modalità richiede sì più PF, ma
ti permette di eseguire con più facilità
gli Attacchi Fratelli.","<0E:0009:0000:0B00>En este modo, los ataques tándem son más
fáciles de ejecutar, pero también cuestan
más puntos TÁN.","<0E:0009:0000:0B00>Bu mod daha fazla BP harcasa da Kardeş
Saldırılarında doğru zamanlamayı tutturmayı
kolaylaştırır."
