AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
,MDat_Menu_Best_Stage3,<0E:0009:0000:0100>Level 3 voltooid,<0E:0009:0000:0100>Stage 3 Clear,<0E:0009:0000:0100>Niveau 3 réussi,<0E:0009:0000:0100>Level 3 geschafft,<0E:0009:0000:0100>Livello 3 completato,<0E:0009:0000:0100>Nivel 3 superado,<0E:0009:0000:0100>3. Aşama Tamam
,MDat_V_001B,"<0E:0009:0000:0600>Oké, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, probeer over
het touw... eh, de koninklijke
grenslijn te springen.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>OK, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, try to jump the
rope... Er... I mean, try to
jump the royal Border Line!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Attention <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, tu
dois éviter la corde... Euh...
je veux dire la ligne frontalière !<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Jetzt, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, spring
über das Seil!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Adesso, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, prova
a saltare la corda! Ehm...
voglio dire, la frontiera!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600><0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, intenta
saltar la cuerda.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Tamam, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, şu ipin... Şey...
Kraliyet Sınır Hattı'nın
üzerinden atlamayı dene!<0E:0002:0001:><0E:0000:0003:373737FF>"
,MDat_V_0031,"<0E:0009:0000:0600>Hierachter ligt het <0E:0000:0003:2C64FFFF>Booninkrijk<0E:0000:0003:373737FF><0E:0000:0003:373737FF>.
Wees voorzichtig als jullie
daar gaan reizen.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Just beyond here is <0E:0000:0003:2C64FFFF>Beanbean<0E:0000:0003:373737FF><0E:0000:0003:373737FF>
<0E:0000:0003:373737FF><0E:0000:0003:2C64FFFF>Kingdom<0E:0000:0003:373737FF><0E:0000:0003:373737FF>. You be extra careful
when traveling there.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Le <0E:0000:0003:2C64FFFF>Royaume de Végésia<0E:0000:0003:373737FF><0E:0000:0003:373737FF>
est devant vous. Faites bon voyage
mais restez prudents.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Ab hier seid ihr in <0E:0000:0003:2C64FFFF>Bohnenland<0E:0000:0003:373737FF><0E:0000:0003:373737FF>.
Passt gut auf euch auf!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Più avanti vi troverete nel Regno di
<0E:0000:0003:2C64FFFF>Fagiolandia<0E:0000:0003:373737FF><0E:0000:0003:373737FF>. Fate attenzione!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Aquí empieza el <0E:0000:0003:2C64FFFF>Reino Judía<0E:0000:0003:373737FF><0E:0000:0003:373737FF>.
Tened cuidado en vuestro viaje.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Şurası <0E:0000:0003:2C64FFFF>Fasulya<0E:0000:0003:373737FF><0E:0000:0003:373737FF>
<0E:0000:0003:373737FF><0E:0000:0003:2C64FFFF>Krallığı<0E:0000:0003:373737FF><0E:0000:0003:373737FF>. Oraya geçince
ikiniz de çok dikkatli olun.<0E:0002:0001:><0E:0000:0003:373737FF>"
,MDat_V_0089,"<0E:0009:0000:0600>Mieters! Nu gaan we
een beetje <0E:0000:0003:2C64FFFF>springen<0E:0000:0003:373737FF><0E:0000:0003:373737FF>.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>All righty! Next up we got
to do a spot o' <0E:0000:0003:2C64FFFF>jumpin'<0E:0000:0003:373737FF><0E:0000:0003:373737FF>!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Ensuite, vous devez savoir
<0E:0000:0003:2C64FFFF>sauter<0E:0000:0003:373737FF> correctement !<0E:0002:0001:>","<0E:0009:0000:0600>Als Nächstes ist
<0E:0000:0003:2C64FFFF>Springen<0E:0000:0003:373737FF><0E:0000:0003:373737FF> dran.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>E adesso
il <0E:0000:0003:2C64FFFF>salto<0E:0000:0003:373737FF><0E:0000:0003:373737FF>!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600><0E:0001:0004:>Vamos a practicar los <0E:0000:0003:2C64FFFF>saltos<0E:0000:0003:373737FF><0E:0000:0003:373737FF>.<0E:0002:0001:><0E:0000:0004:>Deberíais tenerlo ya más
que dominado, pero por si acaso.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Pekala! Sırada biraz
<0E:0000:0003:2C64FFFF>zıplama<0E:0000:0003:373737FF><0E:0000:0003:373737FF> var!<0E:0002:0001:><0E:0000:0003:373737FF>"
,MDat_Menu_Best_Stage4,<0E:0009:0000:0100>Level 4 voltooid,<0E:0009:0000:0100>Stage 4 Clear,<0E:0009:0000:0100>Niveau 4 réussi,<0E:0009:0000:0100>Level 4 geschafft,<0E:0009:0000:0100>Livello 4 completato,<0E:0009:0000:0100>Nivel 4 superado,<0E:0009:0000:0100>4. Aşama Tamam
,MDat_V_001C,"<0E:0009:0000:0600>Nu jij, <0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>.
Laat maar zien.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Now it's your turn, <0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>.
Let's see you jump.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600><0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, c'est ton
tour maintenant.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Jetzt springt <0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>
über das Seil!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Adesso, <0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>,
tocca a te! Forza!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Ahora salta tú,
<0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>.<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Şimdi sıra sende, <0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>.
Görelim bakalım zıplayışını.<0E:0002:0001:><0E:0000:0003:373737FF>"
,MDat_Menu_Best_Stage5,<0E:0009:0000:0100>Level 5 voltooid,<0E:0009:0000:0100>Stage 5 Clear,<0E:0009:0000:0100>Niveau 5 réussi,<0E:0009:0000:0100>Level 5 geschafft,<0E:0009:0000:0100>Livello 5 completato,<0E:0009:0000:0100>Nivel 5 superado,<0E:0009:0000:0100>5. Aşama Tamam
,MDat_V_001D,<0E:0009:0000:0600><0E:0001:0004:>Ongelofelijk!<0E:0002:0001:>,<0E:0009:0000:0600><0E:0001:0004:>Incredible!<0E:0002:0001:>,<0E:0009:0000:0600><0E:0001:0004:>Quel talent !<0E:0002:0001:>,<0E:0009:0000:0600>Wirklich sehr gut!<0E:0002:0001:>,<0E:0009:0000:0600><0E:0001:0004:>Incredibile!<0E:0002:0001:>,<0E:0009:0000:0600>¡No está nada mal!<0E:0002:0001:>,<0E:0009:0000:0600><0E:0001:0004:>İnanılmaz!<0E:0002:0001:>
,MDat_V_001E,"<0E:0009:0000:0600>Mislukt! Jullie moeten helemaal opnieuw
beginnen. Kom op, jongens, jullie
hebben springen uitgevonden!<0E:0002:0001:>","<0E:0009:0000:0600>Nope! FAILURE! Start over
from the top! C'mon, you guys
practically invented jumping!<0E:0002:0001:>","<0E:0009:0000:0600>Raté ! On recommence depuis le
début ! Enfin messieurs, vous avez
 pratiquement inventé le saut !<0E:0002:0001:>","<0E:0009:0000:0600>Ganz schlecht!
Los, neuer Versuch!<0E:0002:0001:>","<0E:0009:0000:0600>Avete perso!
Provate di nuovo!<0E:0002:0001:>","<0E:0009:0000:0600>¡Habéis perdido!
¡Probad otra vez!<0E:0002:0001:>","<0E:0009:0000:0600>Olmadı! ÇUVALLADINIZ! Baştan
alıyoruz! Hadi ama, siz ikiniz
zıplamayı neredeyse icat ettiniz!<0E:0002:0001:>"
,MDat_V_001F,"<0E:0009:0000:0600>Oké, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, en jij ook,
<0E:0000:0003:373737FF><0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>! Probeer het nu samen!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>All right, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, and you, too,
<0E:0000:0003:373737FF><0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>! Try it together!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Très bien, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF> et <0E:0000:0003:373737FF><0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>,
essayez ensemble !<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Und jetzt, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, <0E:0000:0003:373737FF><0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>,
versucht das zu zweit!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>E ora, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, <0E:0000:0003:373737FF><0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>:
provate a farlo insieme!<0E:0002:0001:><0E:0000:0003:373737FF>","<0E:0009:0000:0600>Ahora saltad
los dos juntos.<0E:0002:0001:>","<0E:0009:0000:0600>Pekala, <0E:0000:0003:FF4343FF>Mario<0E:0000:0003:373737FF><0E:0000:0003:373737FF>, sen de
<0E:0000:0003:373737FF><0E:0000:0003:00BB27FF>Luigi<0E:0000:0003:373737FF><0E:0000:0003:373737FF>! Şimdi birlikte deneyin!<0E:0002:0001:><0E:0000:0003:373737FF>"
