AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
,E_Badge41,"<0E:0009:0000:0500>Verhoogt je kracht in een gevecht
met elke vijand die je verslaat.",<0E:0009:0000:0500>Increases strength in battle as you defeat foes.,"<0E:0009:0000:0500>Augmente la puissance de frappe à
mesure que des ennemis sont vaincus.",<0E:0009:0000:0500>Macht beim Besiegen von Gegnern stark.,"<0E:0009:0000:0500>Più nemici sconfiggi, più è potente l'attacco.","<0E:0009:0000:0500>Te hace más potente cuantos
más enemigos vences.",<0E:0009:0000:0500>Düşman yendikçe savaşta gücünü artırır.
,N_EvItem31,<0E:0009:0000:0C00>Geheime boekrol 1,<0E:0009:0000:0C00>Secret Scroll 1,<0E:0009:0000:0C00>Parchemin nº 1,<0E:0009:0000:0C00>Myst. Rolle 1,<0E:0009:0000:0C00>Pergamena 1,<0E:0009:0000:0C00>Pergamino 1,<0E:0009:0000:0C00>Gizli Parşömen 1
,N_Wear34,<0E:0009:0000:0C00>Woestijnbroek,<0E:0009:0000:0C00>Anuboo Jeans,<0E:0009:0000:0C00>Jean Anuboo,<0E:0009:0000:0C00>Wüsten-Jeans,<0E:0009:0000:0C00>Jeans Lasercane,<0E:0009:0000:0C00>Vaquero Anubín,<0E:0009:0000:0C00>Anuboo Kot
,Ns_Wear42,<0E:0009:0000:0C00>Modderige broeken,<0E:0009:0000:0C00>Muddy Jeans,<0E:0009:0000:0C00>Jeans crottés,<0E:0009:0000:0C00>Schlamm-Jeans,<0E:0009:0000:0C00>Jeans Fangosi,<0E:0009:0000:0C00>Vaqueros embarrados,<0E:0009:0000:0C00>Çamurlu Kot
,E_Badge42,"<0E:0009:0000:0500>Wat verfijnd! Herstelt je HP
bij solo-sprongaanvallen.",<0E:0009:0000:0500>Quite refined! Solo Jump attacks restore HP.,<0E:0009:0000:0500>Les attaques de saut restaurent les PV.,<0E:0009:0000:0500>Raffiniert: Bei Solo-Sprüngen erholen sich die KP.,<0E:0009:0000:0500>Gli attacchi in salto singoli fanno recuperare PV.,"<0E:0009:0000:0500>Elegante y refinado. Recupera VIDA
al usar ataques salto en solitario.",<0E:0009:0000:0500>Pek zarif! Tekli Zıplama saldırıları HP yeniler.
,E_EvItem10,<0E:0009:0000:0500>Een schattige jurk van prinses Peach.,<0E:0009:0000:0500>Princess Peach's lovely dress.,"<0E:0009:0000:0500>Robes, etc... de la Princesse Peach.",<0E:0009:0000:0500>Liebliche Kleider der Prinzessin Peach,<0E:0009:0000:0500>Abiti di ricambio per la Principessa,<0E:0009:0000:0500>Vestido con la fragancia de Peach.,<0E:0009:0000:0500>Prenses Peach'in güzel elbisesi.
,E_Wear10,"<0E:0009:0000:0500>Stevige broek die voorkomt
dat je wordt VERGIFTIGD.",<0E:0009:0000:0500>Sturdy pants that block the POISON status effect.,<0E:0009:0000:0500>Protège du statut Contaminé.,<0E:0009:0000:0500>Verhindert Statusänderung durch GIFT.,<0E:0009:0000:0500>Pantaloni che prevengono lo stato INTOSSICATO.,<0E:0009:0000:0500>Te protege del VENENO.,<0E:0009:0000:0500>ZEHİR durumunu engelleyen sağlam bir pantolon.
,Eb_CURE_BP,<0E:0009:0000:0500>Auto-DP-aanvuller,<0E:0009:0000:0500>BP-Auto Gain,<0E:0009:0000:0500>Auto-restaur. PF.,<0E:0009:0000:0500>Auto-BP-Erh.,<0E:0009:0000:0500>Fratelli Cura,<0E:0009:0000:0500>Regenera puntos TÁNDEM.,<0E:0009:0000:0500>Otomatik BP Yenileme
,Eb_CURE_HP_JUMP,<0E:0009:0000:0500>HP+-sprong,<0E:0009:0000:0500>HP-Up Jump,<0E:0009:0000:0500>Saut PV ↑,<0E:0009:0000:0500>KP-Plus-Sprung,<0E:0009:0000:0500>Salto PV +,<0E:0009:0000:0500>Los ataques salto dan VIDA.,<0E:0009:0000:0500>Zıplamayla HP Artışı
,N_EvItem32,<0E:0009:0000:0C00>Geheime boekrol 2,<0E:0009:0000:0C00>Secret Scroll 2,<0E:0009:0000:0C00>Parchemin nº 2,<0E:0009:0000:0C00>Myst. Rolle 2,<0E:0009:0000:0C00>Pergamena 2,<0E:0009:0000:0C00>Pergamino 2,<0E:0009:0000:0C00>Gizli Parşömen 2
,N_Wear35,<0E:0009:0000:0C00>Oeroude broek,<0E:0009:0000:0C00>Ancient Pants,<0E:0009:0000:0C00>Vieux pantalon,<0E:0009:0000:0C00>Antik-Hose,<0E:0009:0000:0C00>Pantaloni Antichi,<0E:0009:0000:0C00>Pantalón retro,<0E:0009:0000:0C00>Antika Pantolon
,Ns_Wear43,<0E:0009:0000:0C00>Bloemenbroeken,<0E:0009:0000:0C00>Flower Pants,<0E:0009:0000:0C00>Pantalons fleuris,<0E:0009:0000:0C00>Blumenhosen,<0E:0009:0000:0C00>Pantaloni Floreali,<0E:0009:0000:0C00>Pantalones floridos,<0E:0009:0000:0C00>Çiçekli Pantolon
,E_Badge43,"<0E:0009:0000:0500>Vergroot de kracht van de aanval
waar je het gevecht mee begint.",<0E:0009:0000:0500>Strengthens battle initiation attacks.,"<0E:0009:0000:0500>Augmente les dégâts infligés d'emblée
lorsque vous initiez le combat.",<0E:0009:0000:0500>Verstärkt Angriffe zu Kampfbeginn.,<0E:0009:0000:0500>Potenzia gli attacchi di inizio scontro.,<0E:0009:0000:0500>Potencia los ataques de inicio de combate.,<0E:0009:0000:0500>Savaşı başlatan ilk saldırıları güçlendirir.
,E_EvItem11,"<0E:0009:0000:0500>Een goedkope, plastic nepster.","<0E:0009:0000:0500>A cheap-looking, plastic fake.",<0E:0009:0000:0500>Végétoile fictive en plastique.,<0E:0009:0000:0500>Billiges Sternbohnenimitat aus Plastik,<0E:0009:0000:0500>Fagiolo stellare di plastica,<0E:0009:0000:0500>Imitación de la Judía Estelar.,<0E:0009:0000:0500>Ucuz görünümlü plastik bir taklit.
