AltDosya,Etiket,EU_du,EU_en,EU_fr,EU_ge,EU_it,EU_sp,TR
,amiibo_sys_err_01,<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Deze amiibo is niet compatibel.<0E:0002:0001:>,<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>This amiibo is not compatible.<0E:0002:0001:>,<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Cet amiibo n'est pas compatible.<0E:0002:0001:>,<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Dieses amiibo ist nicht kompatibel.<0E:0002:0001:>,<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Questo amiibo non è compatibile.<0E:0002:0001:>,<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Este amiibo no es compatible.<0E:0002:0001:>,<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Bu amiibo uyumlu değil.<0E:0002:0001:>
,amiibo_sys_err_21_new,"<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Dit is geen amiibo.
Houd het niet meer tegen het <0E:0000:0003:4ED4FFFF>onderste scherm <0E:0000:0003:E6E6E6FF>aan.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>This is not an amiibo!
Please remove it from the <0E:0000:0003:4ED4FFFF>bottom screen<0E:0000:0003:E6E6E6FF>.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>L'objet détecté n'est pas un amiibo.
Retirez-le de l'<0E:0000:0003:4ED4FFFF>écran tactile<0E:0000:0003:E6E6E6FF>.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Dieses Objekt ist kein amiibo.
Bitte entferne es vom <0E:0000:0003:4ED4FFFF>Touchscreen<0E:0000:0003:E6E6E6FF>.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Questo non è un amiibo.
Rimuovilo dallo <0E:0000:0003:4ED4FFFF>schermo inferiore<0E:0000:0003:E6E6E6FF>.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Este objeto no es un amiibo.
Retíralo de la <0E:0000:0003:4ED4FFFF>pantalla inferior<0E:0000:0003:E6E6E6FF>.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Bu bir amiibo değil!
Lütfen nesneyi <0E:0000:0003:4ED4FFFF>alt ekrandan<0E:0000:0003:E6E6E6FF> kaldır.<0E:0002:0001:>"
,amiibo_sys_err_02,"<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Er kunnen geen amiibo worden gelezen, omdat
de <0E:0000:0003:4ED4FFFF>draadloze communicatie <0E:0000:0003:E6E6E6FF>is<0E:0000:0003:E6E6E6FF> uitgeschakeld<0E:0000:0003:E6E6E6FF>.
<0E:0000:0003:E6E6E6FF>Schakel de <0E:0000:0003:4ED4FFFF>draadloze communicatie <0E:0000:0003:E6E6E6FF>in
en probeer het opnieuw.<0E:0002:0001:><0E:0000:0003:E6E6E6FF>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Could not read amiibo because <0E:0000:0003:4ED4FFFF>wireless 
communication<0E:0000:0003:E6E6E6FF> was disabled.
Please enable <0E:0000:0003:4ED4FFFF>wireless communication<0E:0000:0003:E6E6E6FF>,
and then try again.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>La lecture de l'amiibo a échoué car
la communication sans fil est <0E:0000:0003:4ED4FFFF>désactivée<0E:0000:0003:E6E6E6FF>.
Veuillez <0E:0000:0003:4ED4FFFF>activer<0E:0000:0003:E6E6E6FF> la communication sans fil,
puis réessayez.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Die drahtlose Verbindung ist <0E:0000:0003:4ED4FFFF>deaktiviert<0E:0000:0003:E6E6E6FF>.
Das amiibo kann nicht gelesen werden.
Bitte <0E:0000:0003:4ED4FFFF>aktiviere <0E:0000:0003:E6E6E6FF>die drahtlose Verbindung
und versuche es erneut.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Impossibile leggere l'amiibo perché la
comunicazione wireless è <0E:0000:0003:4ED4FFFF>disattivata<0E:0000:0003:E6E6E6FF>.
<0E:0000:0003:4ED4FFFF>Attiva <0E:0000:0003:E6E6E6FF>la comunicazione wireless
e riprova.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>No es posible leer amiibo porque
la comunicación inalámbrica
está <0E:0000:0003:4ED4FFFF>desactivada<0E:0000:0003:E6E6E6FF>. <0E:0000:0003:4ED4FFFF>Actívala.<0E:0000:0003:E6E6E6FF><0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:><0E:0000:0003:4ED4FFFF>Kablosuz iletişim<0E:0000:0003:E6E6E6FF> kapalı olduğu için
amiibo okunamadı. Lütfen <0E:0000:0003:4ED4FFFF>kablosuz iletişimi<0E:0000:0003:E6E6E6FF>
açıp yeniden dene.<0E:0002:0001:>"
,amiibo_sys_err_03,"<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Er is een fout opgetreden bij het lezen
van of het schrijven naar de amiibo.
Probeer het opnieuw.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>There was an error while trying
to read/write to the amiibo. 
Please try again.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Une erreur est survenue lors de l'écriture
ou de la lecture de données amiibo.
Réessayez.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Beim Zugriff auf die amiibo-Daten
ist ein Fehler aufgetreten.
Bitte versuche es erneut.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Si è verificato un errore durante la lettura
o la scrittura dei dati nell'amiibo.
Riprova.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Se ha producido un error al intentar
acceder a los datos del amiibo.
Inténtalo de nuevo.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>amiibo okunurken/yazılırken
bir hata oluştu.
Lütfen yeniden dene.<0E:0002:0001:>"
,amiibo_sys_err_04,"<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Deze amiibo bevat gegevens van een andere
<0E:0005:0000:><0E:0001:0001:>game en kan niet worden gebruikt. Om de amiibo
<0E:0005:0000:><0E:0001:0001:>te gebruiken moet je de gegevens wissen via de
<0E:0005:0000:><0E:0001:0001:>amiibo-instellingen in de HOME-menu-instellingen.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>This amiibo cannot be used, as it already contains
<0E:0005:0000:><0E:0001:0001:>data for another game. It can only be used
<0E:0005:0000:><0E:0001:0001:>if its data is deleted from ""amiibo Settings""
<0E:0005:0000:><0E:0001:0001:>in the HOME Menu Settings.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Cet amiibo contient déjà des données d'un autre jeu.
<0E:0005:0000:><0E:0001:0001:>Pour l'utiliser, effacez les données existantes via
<0E:0005:0000:><0E:0001:0001:>les Paramètres amiibo accessibles depuis les
<0E:0005:0000:><0E:0001:0001:>paramètres du menu HOME.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Auf diesem amiibo befinden sich bereits Daten
<0E:0005:0000:><0E:0001:0001:>einer anderen Software. Um das amiibo in dieser
<0E:0005:0000:><0E:0001:0001:>Software zu verwenden, lösche die bereits 
<0E:0005:0000:><0E:0001:0001:>vorhandenen Daten unter <0E:0000:0003:4ED4FFFF>amiibo-Einstellungen<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Impossibile usare questo amiibo, poiché contiene già
<0E:0005:0000:><0E:0001:0001:>dati di salvataggio di un altro gioco. Per usarlo,
<0E:0005:0000:><0E:0001:0001:>cancella questi dati selezionando Impostazioni amiibo
<0E:0005:0000:><0E:0001:0001:>all'interno delle Impostazioni del menu HOME.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>No es posible usar este amiibo porque ya contiene
<0E:0005:0000:><0E:0001:0001:>datos de otro juego. Solo será posible usarlo si
<0E:0005:0000:><0E:0001:0001:>se borran dichos datos. Para hacerlo, accede a
<0E:0005:0000:><0E:0001:0001:><0E:0000:0003:4ED4FFFF>Ajustes de amiibo<0E:0000:0003:E6E6E6FF> en los ajustes del menú HOME.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Bu amiibo başka bir oyuna ait veriler içerdiği için
<0E:0005:0000:><0E:0001:0001:>kullanılamaz. Yalnızca HOME Menüsü Ayarları
<0E:0005:0000:><0E:0001:0001:>içindeki ""amiibo Ayarları""ndan verileri
<0E:0005:0000:><0E:0001:0001:>silindikten sonra kullanılabilir."
,amiibo_sys_err_05,"<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Deze amiibo kan nog niet worden gebruikt.
<0E:0005:0000:><0E:0001:0001:>Ga eerst naar <0E:0000:0003:4ED4FFFF>amiibo REGISTREREN<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>This amiibo cannot be used yet.
<0E:0005:0000:><0E:0001:0001:>Please go to <0E:0000:0003:4ED4FFFF>Register amiibo<0E:0000:0003:E6E6E6FF> first.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Cet amiibo ne peut pas encore être utilisé.
<0E:0005:0000:><0E:0001:0001:>Rendez-vous dans le menu <0E:0000:0003:4ED4FFFF>Enregistrer un amiibo<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Dieses amiibo kann noch nicht verwendet werden.
<0E:0005:0000:><0E:0001:0001:>Du musst zuerst das <0E:0000:0003:4ED4FFFF>amiibo registrieren<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Non è ancora possibile usare questo amiibo.
<0E:0005:0000:><0E:0001:0001:>Prima devi registrarlo selezionando <0E:0000:0003:4ED4FFFF>Registra amiibo<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Todavía no es posible usar este amiibo.
<0E:0005:0000:><0E:0001:0001:>Accede antes a <0E:0000:0003:4ED4FFFF>Registrar amiibo<0E:0000:0003:E6E6E6FF>.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Bu amiibo henüz kullanılamaz.
<0E:0005:0000:><0E:0001:0001:>Önce <0E:0000:0003:4ED4FFFF>amiibo Kaydet<0E:0000:0003:E6E6E6FF> bölümüne git."
,amiibo_sys_err_06,"<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>De gegevens op deze amiibo zijn beschadigd.
<0E:0005:0000:><0E:0001:0001:>Wil je de gegevens herstellen?<0E:0000:0001:0800><0E:0002:0000:0A00><0E:0000:0001:FFFF>
<0E:0000:0001:0800><0E:0005:0000:><0E:0001:0001:><0E:0000:0001:FFFF><0E:0004:0001:>Herstellen<0E:0006:0000:2000><0E:0004:0001:>Niet herstellen<0E:0002:0000:0A00>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>The data on this amiibo is corrupted.
<0E:0005:0000:><0E:0001:0001:>Restore amiibo data?<0E:0000:0001:0800><0E:0002:0000:0A00><0E:0000:0001:FFFF>
<0E:0000:0001:0800><0E:0005:0000:><0E:0001:0001:><0E:0000:0001:FFFF><0E:0004:0001:>Restore<0E:0006:0000:2000><0E:0004:0001:>Don't restore<0E:0000:0001:0800><0E:0002:0000:0A00><0E:0000:0001:FFFF>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Les données de l'amiibo sont corrompues.
<0E:0005:0000:><0E:0001:0001:>Essayer de les restaurer ?<0E:0000:0001:0800><0E:0002:0000:0A00><0E:0000:0001:FFFF>
<0E:0000:0001:0800><0E:0005:0000:><0E:0001:0001:><0E:0000:0001:FFFF><0E:0004:0001:>Oui<0E:0006:0000:2000><0E:0004:0001:>Non<0E:0002:0000:0A00>","<0E:0009:0000:0C00><0E:0000:0001:0800><0E:0005:0000:><0E:0001:0001:>Die amiibo-Daten sind fehlerhaft.<0E:0000:0001:FFFF>
<0E:0000:0001:0800><0E:0005:0000:><0E:0001:0001:>Möchtest du die amiibo-Daten jetzt wiederherstellen?
<0E:0004:0001:>Ja.<0E:0006:0000:2000><0E:0004:0001:>Nein.<0E:0002:0000:0A00><0E:0000:0001:FFFF>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>I dati di questo amiibo sono danneggiati.
<0E:0005:0000:><0E:0001:0001:>Vuoi recuperare i dati di questo amiibo?
<0E:0004:0001:>Sì<0E:0006:0000:2000><0E:0004:0001:>No<0E:0002:0000:0A00>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Los datos de este amiibo están dañados.
<0E:0005:0000:><0E:0001:0001:>¿Quieres restaurarlos?
<0E:0004:0001:>Sí<0E:0006:0000:2000><0E:0004:0001:>No<0E:0002:0000:0A00>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Bu amiibo üzerindeki veriler bozulmuş.
<0E:0005:0000:><0E:0001:0001:>amiibo verileri geri yüklensin mi?<0E:0000:0001:0800><0E:0002:0000:0A00><0E:0000:0001:FFFF>
<0E:0000:0001:0800><0E:0005:0000:><0E:0001:0001:><0E:0000:0001:FFFF><0E:0004:0001:>Geri Yükle<0E:0006:0000:2000><0E:0004:0001:>Geri Yükleme<0E:0000:0001:0800><0E:0002:0000:0A00><0E:0000:0001:FFFF>"
,amiibo_sys_err_07,"<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>De gegevens op deze amiibo zijn beschadigd.
De gegevens kunnen worden hersteld op een
spelsysteem waarop de amiibo eerder is gebruikt.<0E:0002:0001:><0E:0000:0004:><0E:0005:0000:><0E:0001:0001:>Je kunt de amiibo ook formatteren via de
amiibo-instellingen in de HOME-menu-instellingen.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>The data on this amiibo is corrupted. It can be
restored from a gaming system that was
previously used with this amiibo.<0E:0002:0001:><0E:0000:0004:><0E:0005:0000:><0E:0001:0001:>Otherwise, you can restore the amiibo to its 
original settings from ""amiibo Settings"" 
in HOME Menu Settings.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Les données de l'amiibo sont corrompues.
Elles peuvent être restaurées depuis une console
avec laquelle cet amiibo a déjà été utilisé.<0E:0002:0001:><0E:0000:0004:><0E:0005:0000:><0E:0001:0001:>Vous pouvez aussi réinitialiser les données de l'amiibo
via les Paramètres amiibo, dans les paramètres du
menu HOME.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Die amiibo-Daten sind fehlerhaft.
Du kannst die Daten mithilfe eines Nintendo-Geräts,
mit dem du zuvor auf dieses amiibo zugegriffen hast,
wiederherstellen.<0E:0002:0001:><0E:0000:0004:><0E:0005:0000:><0E:0001:0001:>Funktioniert dies nicht, kannst du die amiibo-Daten
unter <0E:0000:0003:4ED4FFFF>amiibo-Einstellungen<0E:0000:0003:E6E6E6FF> in den HOME-Menü-Einstel-
lungen zurücksetzen.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>I dati in questo amiibo sono danneggiati. Puoi
recuperarli con una console usata in precedenza
per accedere ai dati di questo amiibo.<0E:0002:0001:><0E:0000:0004:><0E:0005:0000:><0E:0001:0001:>Oppure, ripristina l'amiibo dalle Impostazioni amiibo
che trovi nelle Impostazioni del menu HOME.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Los datos de este amiibo están dañados.
Podrás restaurarlos si dispones
de un dispositivo de Nintendo que
haya accedido previamente al amiibo.<0E:0002:0001:><0E:0000:0004:><0E:0005:0000:><0E:0001:0001:>De lo contrario, selecciona
«Ajustes de amiibo» en los ajustes
del menú HOME y formatea el amiibo.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Bu amiibo üzerindeki veriler bozulmuş. Veriler,
daha önce bu amiibo ile kullanılmış bir
oyun sisteminden geri yüklenebilir.<0E:0002:0001:><0E:0000:0004:><0E:0005:0000:><0E:0001:0001:>Aksi halde HOME Menüsü Ayarları içindeki
""amiibo Ayarları""ndan amiibo'yu
fabrika ayarlarına döndürebilirsin.<0E:0002:0001:>"
,amiibo_sys_err_08,"<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Er is een fout opgetreden bij het lezen
van of het schrijven naar de amiibo.
Probeer het opnieuw.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>An error occured while reading/writing
to the amiibo. Please try again.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Une erreur est survenue lors de l'écriture ou
de la lecture des données amiibo. Réessayez.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Beim Zugriff auf die amiibo-Daten
ist ein Fehler aufgetreten.
Bitte versuche es erneut.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Si è verificato un errore durante la lettura
o la scrittura dei dati nell'amiibo. Riprova.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Se ha producido un error durante la lectura
o la escritura de los datos del amiibo.
Inténtalo de nuevo.<0E:0002:0001:>","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>amiibo okunurken/yazılırken
bir hata oluştu. Lütfen yeniden dene.<0E:0002:0001:>"
,amiibo_sys_err_09,"<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Zet de NFC-lezer/-schrijver aan en zorg
dat de infraroodontvanger op die van
het Nintendo 3DS-systeem is gericht.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Please power on the NFC Reader/Writer
and face its infrared transceiver toward
that of the Nintendo 3DS system.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Allumez le lecteur/enregistreur NFC Nintendo 3DS
et positionnez son port infrarouge en face
de celui de la console.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Aktiviere das Nintendo 3DS-NFC-Lese-/Schreibgerät
und platziere es so, dass es auf den Infrarot-Sende-
Empfänger deines Nintendo 3DS-Systems zeigt.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Sostituisci le batterie del lettore/scrittore NFC
e assicurati che sia rivolto verso il modulo
a infrarossi della console Nintendo 3DS.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>Enciende el lector/grabador de NFC
para Nintendo 3DS y colócalo frente al
transceptor de infrarrojos de la consola.","<0E:0009:0000:0C00><0E:0005:0000:><0E:0001:0001:>NFC Okuyucu/Yazıcıyı aç ve
kızılötesi alıcı-vericisini Nintendo 3DS sisteminin
kızılötesi alıcı-vericisine doğru çevir."
