file,index,key,category,old,new
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,"Hey şimdi, eğer Bay Brady değilse!","Aaa, Bay Brady de buradaymış!"
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,"Korkak? Gerçekten Brady, öğleden sonra","Sinsice dolaşmak mı? Brady, öğleden sonra"
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,"Bir sonraki kişi gibi
benim de endiselerim var.","Herkes kadar benim de
endişelerim var."
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,"Şey, yaptım... Yani muhtemelen yaptım? Bir
noktada bunu yaptığımı varsayıyorum...","Şey, vardı... Yani, herhalde vardı?
Bir zamanlar olduğunu varsayıyorum..."
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,"Eğer bunu yaptığinizi varsaymaniz
gerekiyorsa, o zaman YAPMAYIN!","Varsayman gerekiyorsa, o zaman
YOK demektir!"
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,Evet! Oldukça fazla!,Evet! Aşağı yukarı öyle!
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,"Ah, beni aydinlatıyorsun. Bir hafıza kaybı
hastasinin bu kadar neşeli olmasına imkan
yok!","Hadi, benimle kafa buluyorsun. Hafızasını
yitiren biri bu kadar neşeli olamaz!"
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,"Çünkü düşman casusu olabilirsiniz, bu
yüzden olmasın!","Çünkü düşman casusu olabilirsin!
İşte bu yüzden!"
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,"Peki, bunu bu şekilde ifade edersen, benim
rahat hafıza kaybim ve diğer şeylerle
birlikte...","Öyle söyleyince, şu kullanışlı hafıza
kaybım falan düşünülünce..."
ブレディ_マーク女.csv,0,MID_支援_ブレディ_マーク女_Ｃ,pass202_semantic,"Ah, git bir limon ye!",Hadi işine!
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,"Grup manevralarini yeni bitirdiniz, değil
mi? Yorgun görünüyorsun ve sesin çok
yorgun.","Grup manevralarını yeni bitirdin,
değil mi?
Bitkin görünüyorsun, sesin de öyle."
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,Biraz sırtini ovmami ister misin?,Biraz sırtını ovmamı ister misin?
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,"Ama ah hayır! Brady senin sırtina
yaklaşmana izin vermiyor!","Ama yok öyle! Brady seni sırtına
yaklaştırmayacak!"
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,"Rahip olarak başladigini sanıyordum, değil
mi?","Rahip olarak başladığını sanıyordum,
değil mi?"
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,"Hey, bana biraz ara ver!","Hadi ama, biraz rahat bırak!"
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,"iyileştirmektir, kendinizi değil!","iyileştirmektir, kendini değil!"
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,"Bu fedakârlık ve tüm bu sıska şeylerle
ilgili. Kendini en sona koyman gerekiyor!","Mesele fedakârlık ve o tür laflar.
Kendini en sona koyman gerekiyor!"
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,"Başkalarına yardım etmek istiyorsanız
biraz kendinize dikkat etmelisiniz, değil
mi?","Başkalarına yardım etmek istiyorsan
kendine de biraz dikkat etmelisin,
değil mi?"
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,"Tamam, tamam! Kendinizi daha da
nefessiz bırakmayin.","Tamam, tamam! Daha da
nefes nefese kalma."
ブレディ_マーク女.csv,1,MID_支援_ブレディ_マーク女_Ｂ,pass202_semantic,"Senden yardım isteyen olmadı!
Hadi poponu kaldır da çek git!","Senden yardım isteyen olmadı!
Hadi kaybol da beni rahat bırak!"
